How long have you been a member of CNCF?,How many employees does your company have?,"Please indicate your CNCF membership level: (if you’re not sure, please check the list to confirm)",Are you also part of CNCF's End User Community? (Visit here to confirm),What is your role in your organization?,,What CNCF marketing programs are valuable to your company? Check all that apply.,,,,,,,,,,,,,,How well does CNCF communicate the process to get involved in the activities and programs offered?,,Have you taken advantage of networking opportunities with other CNCF members?,,What improvements could be made to these marketing programs? Please check all that apply,,,,,"What kind of additional marketing programs would you find valuable, if any?",We are looking for information on the events and marketing activities our members engage in. Do you hold community events such as a roadshow or developer event? Are they in-person or virtual? What is your targeted audience? How many attendees do you get?,"Do you have an event that CNCF should sponsor and if so, why?",Are you part of other member programs? What parts of that program to most enjoy / find beneficial?,Do you attend the monthly Marketing Committee calls?,"If you have attended a Marketing Committee meeting, is the content presented useful, interesting, and informative?",What improvements could be made to the Marketing Committee meeting? Select all that apply.,,,,,,,"In the past 6 months, have you had a call with CNCF to discuss your membership benefits?",,"Have you submitted an information request to CNCF staff? If so, what communication method did you use? Check all that apply.",,,,,,"If you have submitted a request to CNCF staff, how helpful were the responses you received?",What have you found to be the most valuable part of your CNCF membership? Check all that apply.,,,,,,,,Has your CNCF membership experience met your expectations?,,Would you recommend CNCF membership to other companies?,,Is there any other feedback that you wish to share? What can CNCF do more of or less of? How can CNCF help you in the next six months?
1 year,1-49,Silver,No,Sales and Marketing,,Sponsorship of CNCF Events: KubeCon + CloudNativeCon,Sponsorship of CNCF Events: Kubernetes Forums,"Sponsorship of CNCF Events: CNCF project events (i.e PromCon, gRPC Conf)",Sponsorship of CNCF Events: Kubernetes Community Days,CNCF Webinar Program,Kubernetes blogs,CNCF blog program on cncf.io,KubeWeekly,End user case studies,PR/AR / Thought Leadership / Speaker Support,"Partner Programs (KTP, KCSP, Certified K8s)",Speakers Bureau and member emails,,,Very well,"But now, we’re hesitate to send our paper/story to CNCF. My bad~",I was not aware of networking opportunities with other CNCF members,,Add more programs,Better communication as to how to get involved,More support on aligning these programs to member goals,,,,,,,Never,I have not attended a marketing committee meeting,,,More information on how members can get involved in marketing programs,Marketing topics where members share best practices,,,,No,,,,,,,I have not submitted a request of CNCF staff,I have never submitted a request to CNCF Staff,Marketing programs,Networking with other companies in the space,,Demonstrating thought leadership,,,,,Somewhat meets expectations,,Yes,,Could someone guide us to share our technical staff’s best practice / story to CNCF’s blog and host a webinar ?
4+ years,1-49,Silver,No,Sales and Marketing,,Sponsorship of CNCF Events: KubeCon + CloudNativeCon,,,Sponsorship of CNCF Events: Kubernetes Community Days,CNCF Webinar Program,Kubernetes blogs,CNCF blog program on cncf.io,KubeWeekly,,,,Speakers Bureau and member emails,,,Somewhat well,,No,,,,More support on aligning these programs to member goals,,,,,,,Most months,Somewhat,Increased communication regarding how your company can strategically align with CNCF initiatives,,More information on how members can get involved in marketing programs,Marketing topics where members share best practices,Open discussion time,,,No,,,,,,,I have not submitted a request of CNCF staff,Somewhat helpful,Marketing programs,,,,,,,,Somewhat meets expectations,,Yes,,
3 years,1-49,Silver,Yes,Sales and Marketing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1 year,1-49,Silver,No,Sales and Marketing,,Sponsorship of CNCF Events: KubeCon + CloudNativeCon,,,,,,,,,,,,,We've only sponsored KubeCon + CloudNativeCon but are interested in other marketing opportunities.,Neutral,Unsure,I was not aware of networking opportunities with other CNCF members,,,Better communication as to how to get involved,More support on aligning these programs to member goals,,,,,,,Every month,Neutral,Increased communication regarding how your company can strategically align with CNCF initiatives,,More information on how members can get involved in marketing programs,Marketing topics where members share best practices,,,,No,,,,Email to specific CNCF person,Slack,,,Very helpful,,,,,,,,need to start using more opportunities,Neutral,,Yes,,
Less than one year,1-49,Platinum,Yes,"Technical, engineering, developer",,Sponsorship of CNCF Events: KubeCon + CloudNativeCon,,,,,,,,,,,,,,Very well,,Yes,,Add more programs,,,,,,,,,Every month,Very,Increased communication regarding how your company can strategically align with CNCF initiatives,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Less than one year,1-49,Silver,No,Sales and Marketing,,Sponsorship of CNCF Events: KubeCon + CloudNativeCon,,,,CNCF Webinar Program,,CNCF blog program on cncf.io,,End user case studies,,,,,,Neutral,,I was not aware of networking opportunities with other CNCF members,,,Better communication as to how to get involved,,,,"More European initiatives, especially webinars at Europe-friendly times.",Not yet,No,Linux and CD foundation. Sub committee working groups are interesting.,Most months,Somewhat,,Additional reporting on the performance of marketing programs,More information on how members can get involved in marketing programs,,,,Less slides to make it more catchy,No,Yes it could be useful,,,Email to specific CNCF person,,,I have not submitted a request of CNCF staff,Extremely helpful,Marketing programs,,,,,,,Be part of a relevant community,Neutral,Clearly didn't have a chance to make the most of it. Need more time for this.,Yes,Interesting community and opportunities ,Knowing more about the opportunities for us would be a good start to then see which ones we can leverage would be a good start.
3 years,1-49,Silver,No,Sales and Marketing,,Sponsorship of CNCF Events: KubeCon + CloudNativeCon,,,,CNCF Webinar Program,,,,,,,,,,Somewhat well,,I was not aware of networking opportunities with other CNCF members,where and how?,,,,I do not have any suggestions,,-,we visit CNCF meetups as speaker in several cities and countries,not yet ,-,I was not aware of the monthly Marketing Committee calls,I have not attended a marketing committee meeting,,,,,,I do not have any improvement suggestions,,No,please call me,,Email to an email alias,Email to specific CNCF person,,,,Very helpful,Marketing programs,Networking with other companies in the space,,,,Lead generation from partner programs,,,Somewhat meets expectations,,Yes,,the feedback for the application as CNCF ambassador takes quite long
1 year,1-49,Silver,No,Other (please specify),CEO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4+ years,"5,000+",Platinum,No,Other (please specify),Business Development,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 years,50-499,Nonprofit,Yes,"Technical, engineering, developer",,,,,,CNCF Webinar Program,,,,End user case studies,,,Speakers Bureau and member emails,,,Somewhat well,,I was not aware of networking opportunities with other CNCF members,,,,,I do not have any suggestions,,"Something about more celebration of tiers within the gradient.  Incubation onboarding is seen somewhat by the industry outside CNCF, and graduation is almost always a thread in the usual places.  A successful eval by security-sig or whatever seems to get lost in the noise.  It's all early days still so understandable, but a pipeline with backpats and feelgoodery as things sprawl would help keep mindshare and good vibes I expect. ",,"I am an organizer for DevOpsDays KC.  This would be our 5th year in a row, except we are postponing to spring 2021.  I know there are CNCF meetups, I know the person who runs the one here in KC.  I wonder if there is appetite for a devopsdays like franchising of single or double day events that are a bit more formal.  Or throw in with like-minded events such as DevOpsDays or DevSecOpsDays.  ",,Occassionally,Neutral,,,,,,I do not have any improvement suggestions,,No,,,,,,,I have not submitted a request of CNCF staff,I have never submitted a request to CNCF Staff,,Networking with other companies in the space,,,Helping raise awareness of CNCF projects to reach critical mass,,,Helping to further the tools and landscape I want to work on in the industry.,Somewhat meets expectations,,Yes,,
3 years,1-49,Silver,No,Sales and Marketing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3 years,50-499,Silver,No,Developer relations / community,,Sponsorship of CNCF Events: KubeCon + CloudNativeCon,,,,,,,,,,"Partner Programs (KTP, KCSP, Certified K8s)",,,,Somewhat well,,Yes,,,Better communication as to how to get involved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 years,1-49,Silver,Yes,Sales and Marketing,,Sponsorship of CNCF Events: KubeCon + CloudNativeCon,Sponsorship of CNCF Events: Kubernetes Forums,,Sponsorship of CNCF Events: Kubernetes Community Days,CNCF Webinar Program,Kubernetes blogs,CNCF blog program on cncf.io,,End user case studies,PR/AR / Thought Leadership / Speaker Support,,Speakers Bureau and member emails,,,Very well,,I was not aware of networking opportunities with other CNCF members,,,,More support on aligning these programs to member goals,,,Know the partners' program featuring 10 security partners (for example) every month,"We do lots of webinars, meetups, starting with Vlog too","Yes, we are holding a local meetup in Berlin with AWS and one of our strategic customers.",Many more..mostly partners' programs,Occassionally,Somewhat,,,More information on how members can get involved in marketing programs,,Open discussion time,,,Yes,,,Email to an email alias,Email to specific CNCF person,,,,Somewhat helpful,Marketing programs,,,Demonstrating thought leadership,Helping raise awareness of CNCF projects to reach critical mass,,,,Somewhat meets expectations,,Yes,,no
Less than one year,1-49,Silver,No,Sales and Marketing,,Sponsorship of CNCF Events: KubeCon + CloudNativeCon,Sponsorship of CNCF Events: Kubernetes Forums,,Sponsorship of CNCF Events: Kubernetes Community Days,CNCF Webinar Program,Kubernetes blogs,CNCF blog program on cncf.io,,End user case studies,PR/AR / Thought Leadership / Speaker Support,,,,,Somewhat well,"I think communication about those things is relatively good, but it's really hard to use some of them - eg webinars have a long wait list, I don't know when I could sign up and when the webinar would happen.",No,I feel that a lot of activities are not able to be utilised by everyone - the number of members is increasing all the time and there are more and more people competing for the same amount of activities. ,Add more programs,,More support on aligning these programs to member goals,,Increase the volume and transparency on how to best to actually take advantage of the programs,,At the moment we are not doing physical field events due to the pandemic,,,Most months,Neutral,Increased communication regarding how your company can strategically align with CNCF initiatives,,More information on how members can get involved in marketing programs,Marketing topics where members share best practices,Open discussion time,,,No,didn't know that was even an option,Member desk,,Email to specific CNCF person,,,,Very helpful,,,,,,,,so far I'm yet to see the value apart form being listed as a partner,Somewhat does not meet expectations,,No,,
1 year,50-499,Silver,No,Sales and Marketing,,Sponsorship of CNCF Events: KubeCon + CloudNativeCon,,,Sponsorship of CNCF Events: Kubernetes Community Days,,,,,,,,Speakers Bureau and member emails,,,Very well,,No,,,Better communication as to how to get involved,,,,,"We do not hold our own community or developer events (yet), but we'll often sponsor or partner with other organizations.",,,Most months,Very,,,More information on how members can get involved in marketing programs,Marketing topics where members share best practices,,,,No,,,,,,,I have not submitted a request of CNCF staff,I have never submitted a request to CNCF Staff,Marketing programs,,Direct access to developers in the community to promote our solutions or hire talent,,,,,,Somewhat meets expectations,We have not taken full advantage of all member programs; there are many more things we would like to participate in this coming year.,Yes,Great member support and network,
2 years,50-499,Silver,No,Sales and Marketing,,Sponsorship of CNCF Events: KubeCon + CloudNativeCon,Sponsorship of CNCF Events: Kubernetes Forums,"Sponsorship of CNCF Events: CNCF project events (i.e PromCon, gRPC Conf)",Sponsorship of CNCF Events: Kubernetes Community Days,CNCF Webinar Program,Kubernetes blogs,,KubeWeekly,,PR/AR / Thought Leadership / Speaker Support,"Partner Programs (KTP, KCSP, Certified K8s)",Speakers Bureau and member emails,,,Neutral,"Dear team, I am grateful for your great community work, but some information are hard to find on the pages, as it is difficult - especially in the beginning - to find your way around and understand the dependencies of the programs. Personally, I would like to see the information about the marketing programs better described",I was not aware of networking opportunities with other CNCF members,,,Better communication as to how to get involved,,,,,,,,Every month,Very,Increased communication regarding how your company can strategically align with CNCF initiatives,,More information on how members can get involved in marketing programs,Marketing topics where members share best practices,,,,No,,,,,Slack,,,Very helpful,,Networking with other companies in the space,Direct access to developers in the community to promote our solutions or hire talent,,,Lead generation from partner programs,,,Neutral,,Yes,,
Less than one year,50-499,End User Supporter,Yes,"Technical, engineering, developer",,,,,,,Kubernetes blogs,,,,,"Partner Programs (KTP, KCSP, Certified K8s)",Speakers Bureau and member emails,,,Neutral,,I was not aware of networking opportunities with other CNCF members,,,Better communication as to how to get involved,More support on aligning these programs to member goals,,,,No,No,,I was not aware of the monthly Marketing Committee calls,I have not attended a marketing committee meeting,,,,,,I do not have any improvement suggestions,,No,,Member desk,,,,,,Extremely helpful,,,,Demonstrating thought leadership,,,,,Somewhat meets expectations,,Yes,,
Less than one year,1-49,Silver,No,"Technical, engineering, developer",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Less than one year,1-49,Silver,No,Sales and Marketing,,,Sponsorship of CNCF Events: Kubernetes Forums,,Sponsorship of CNCF Events: Kubernetes Community Days,,Kubernetes blogs,,,End user case studies,,"Partner Programs (KTP, KCSP, Certified K8s)",,,,Somewhat poorly,,Yes,CNCF Meetup,,Better communication as to how to get involved,,,Please be more regional specific in communication. Right now we are overwhelmed with all info.,,"In person and virtual. Mid level it managers, architects and operations/devOPS",not at this moment,,Never,I have not attended a marketing committee meeting,,,,,,I do not have any improvement suggestions,,No,,,,Email to specific CNCF person,,,,Very helpful,,,,Demonstrating thought leadership,,,,,Neutral,,Yes,,
2 years,"5,000+",End User Supporter,Yes,Other (please specify),Executive,,,"Sponsorship of CNCF Events: CNCF project events (i.e PromCon, gRPC Conf)",,,,,,End user case studies,PR/AR / Thought Leadership / Speaker Support,,Speakers Bureau and member emails,,,Somewhat well,,Yes,,,Better communication as to how to get involved,More support on aligning these programs to member goals,,,,,,,Never,I have not attended a marketing committee meeting,Increased communication regarding how your company can strategically align with CNCF initiatives,Additional reporting on the performance of marketing programs,More information on how members can get involved in marketing programs,Marketing topics where members share best practices,,,,No,,,Email to an email alias,Email to specific CNCF person,Slack,,,Somewhat helpful,,Networking with other companies in the space,,Demonstrating thought leadership,,,,,Somewhat meets expectations,,Yes,,
Less than one year,1-49,Silver,No,Developer relations / community,,Sponsorship of CNCF Events: KubeCon + CloudNativeCon,,,,,Kubernetes blogs,CNCF blog program on cncf.io,KubeWeekly,,PR/AR / Thought Leadership / Speaker Support,,Speakers Bureau and member emails,,,Very well,,I was not aware of networking opportunities with other CNCF members,,,,,I do not have any suggestions,,,"We intend to hold them soon in our office for Ukrainian community, and online globally for C level tech decision makers and architects.",,,Most months,Very,,,,,,I do not have any improvement suggestions,,No,,,,Email to specific CNCF person,,,,Extremely helpful,Marketing programs,,,,,,,,Completely meets expectations,,Yes,,
4+ years,50-499,Silver,No,Other (please specify),Management,Sponsorship of CNCF Events: KubeCon + CloudNativeCon,,,,,,,,,,"Partner Programs (KTP, KCSP, Certified K8s)",,,,Neutral,,Yes,,,,More support on aligning these programs to member goals,,,,,,,Never,I have not attended a marketing committee meeting,,,,,,I do not have any improvement suggestions,,No,,,,,,,I have not submitted a request of CNCF staff,I have never submitted a request to CNCF Staff,,Networking with other companies in the space,,,,,,,Neutral,,Yes,,
1 year,50-499,Silver,No,"Technical, engineering, developer",,Sponsorship of CNCF Events: KubeCon + CloudNativeCon,,,Sponsorship of CNCF Events: Kubernetes Community Days,CNCF Webinar Program,Kubernetes blogs,CNCF blog program on cncf.io,,,,"Partner Programs (KTP, KCSP, Certified K8s)",Speakers Bureau and member emails,,,Neutral,,I was not aware of networking opportunities with other CNCF members,,,Better communication as to how to get involved,,,,,,,,Occassionally,Somewhat,,Additional reporting on the performance of marketing programs,More information on how members can get involved in marketing programs,,,,,Not sure,,,Email to an email alias,Email to specific CNCF person,,,,Somewhat helpful,Marketing programs,,,Demonstrating thought leadership,,,,,Somewhat meets expectations,,Yes,,
3 years,"5,000+",End User Supporter,Yes,"Technical, engineering, developer",,,,,,,,,,End user case studies,,,,,,Neutral,,Yes,,,Better communication as to how to get involved,More support on aligning these programs to member goals,,,,,,,I was not aware of the monthly Marketing Committee calls,I have not attended a marketing committee meeting,,,,,,I do not have any improvement suggestions,,No,,,Email to an email alias,Email to specific CNCF person,,,,Very helpful,,Networking with other companies in the space,,,,,,,Somewhat meets expectations,,Yes,,
Less than one year,"5,000+",Silver,No,"Technical, engineering, developer",,,,,,,,,,End user case studies,,,,,,Somewhat well,,No,,,,,I do not have any suggestions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Less than one year,1-49,Silver,No,Sales and Marketing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Less than one year,50-499,Silver,No,Sales and Marketing,,Sponsorship of CNCF Events: KubeCon + CloudNativeCon,Sponsorship of CNCF Events: Kubernetes Forums,,Sponsorship of CNCF Events: Kubernetes Community Days,CNCF Webinar Program,Kubernetes blogs,CNCF blog program on cncf.io,,End user case studies,,"Partner Programs (KTP, KCSP, Certified K8s)",,,,Somewhat well,,Yes,,,Better communication as to how to get involved,More support on aligning these programs to member goals,,,,,,,Never,I have not attended a marketing committee meeting,,,,,,I do not have any improvement suggestions,,Not sure,,,Email to an email alias,,,,,Very helpful,Marketing programs,Networking with other companies in the space,Direct access to developers in the community to promote our solutions or hire talent,Demonstrating thought leadership,Helping raise awareness of CNCF projects to reach critical mass,Lead generation from partner programs,,,Neutral,,Yes,,
4+ years,50-499,Silver,Yes,Sales and Marketing,,Sponsorship of CNCF Events: KubeCon + CloudNativeCon,,,,CNCF Webinar Program,Kubernetes blogs,,KubeWeekly,End user case studies,,"Partner Programs (KTP, KCSP, Certified K8s)",,,,Somewhat well,,No,,,Better communication as to how to get involved,,,,N/A,We are working on road-show events but haven't launched any to date.,,,Never,I have not attended a marketing committee meeting,,,,,,I do not have any improvement suggestions,,No,,,,Email to specific CNCF person,,,,Extremely helpful,,,Direct access to developers in the community to promote our solutions or hire talent,Demonstrating thought leadership,,Lead generation from partner programs,,,Completely meets expectations,,Yes,,
Less than one year,50-499,Silver,No,"Technical, engineering, developer",,Sponsorship of CNCF Events: KubeCon + CloudNativeCon,Sponsorship of CNCF Events: Kubernetes Forums,"Sponsorship of CNCF Events: CNCF project events (i.e PromCon, gRPC Conf)",Sponsorship of CNCF Events: Kubernetes Community Days,CNCF Webinar Program,Kubernetes blogs,CNCF blog program on cncf.io,KubeWeekly,End user case studies,PR/AR / Thought Leadership / Speaker Support,"Partner Programs (KTP, KCSP, Certified K8s)",,,,Very well,,No,,,,,I do not have any suggestions,,,,,,Occassionally,Neutral,,,,,,I do not have any improvement suggestions,,No,,,,Email to specific CNCF person,,Text / phone call,,Very helpful,Marketing programs,Networking with other companies in the space,,,,,,,Somewhat meets expectations,,Yes,,
2 years,"5,000+",End User Supporter,Yes,"Technical, engineering, developer",,,,,,,,,,End user case studies,PR/AR / Thought Leadership / Speaker Support,,,,,Somewhat well,,Yes,,,,,I do not have any suggestions,,,,,,I was not aware of the monthly Marketing Committee calls,I have not attended a marketing committee meeting,,,,,,I do not have any improvement suggestions,,No,,,,Email to specific CNCF person,,,,Very helpful,,Networking with other companies in the space,Direct access to developers in the community to promote our solutions or hire talent,Demonstrating thought leadership,Helping raise awareness of CNCF projects to reach critical mass,,,,Neutral,,Yes,,
1 year,1-49,Silver,No,"Technical, engineering, developer",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Less than one year,50-499,End User Supporter,Yes,"Technical, engineering, developer",,Sponsorship of CNCF Events: KubeCon + CloudNativeCon,,,,,Kubernetes blogs,,,End user case studies,,,,,,Neutral,,I was not aware of networking opportunities with other CNCF members,,,Better communication as to how to get involved,More support on aligning these programs to member goals,,,,,,,Never,I have not attended a marketing committee meeting,,,,,,I do not have any improvement suggestions,,No,,Member desk,,,,,,Very helpful,,,,,,,Nothing,,Neutral,,Yes,,
Less than one year,1-49,Silver,No,Other (please specify),CEO,,,,,,,,,,PR/AR / Thought Leadership / Speaker Support,"Partner Programs (KTP, KCSP, Certified K8s)",,,,Very well,,I was not aware of networking opportunities with other CNCF members,,,Better communication as to how to get involved,More support on aligning these programs to member goals,,,,,,,Occassionally,Somewhat,,,,,,I do not have any improvement suggestions,,No,,,,Email to specific CNCF person,,,,Extremely helpful,,,,Demonstrating thought leadership,,,,,Completely meets expectations,,Yes,,
2 years,"5,000+",Silver,Yes,"Technical, engineering, developer",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Less than one year,1-49,Silver,No,Other (please specify),Executive Assistant,Sponsorship of CNCF Events: KubeCon + CloudNativeCon,Sponsorship of CNCF Events: Kubernetes Forums,,,,Kubernetes blogs,CNCF blog program on cncf.io,,End user case studies,PR/AR / Thought Leadership / Speaker Support,"Partner Programs (KTP, KCSP, Certified K8s)",,,,Somewhat well,,No,We just became CNCF memers.,,Better communication as to how to get involved,,,,,Cloud Native Computing Odesa,,,I was not aware of the monthly Marketing Committee calls,I have not attended a marketing committee meeting,Increased communication regarding how your company can strategically align with CNCF initiatives,,More information on how members can get involved in marketing programs,,,,,Not sure,We just became a CNCF member.,,,,,,I have not submitted a request of CNCF staff,I have never submitted a request to CNCF Staff,,,Direct access to developers in the community to promote our solutions or hire talent,Demonstrating thought leadership,,,,,Completely meets expectations,,Yes,"It's a great way to network, to get in contact and find like minded companies and developers with the same vision.",
Less than one year,"1,000-2,999",End User Supporter,No,"Technical, engineering, developer",,,,,,,Kubernetes blogs,CNCF blog program on cncf.io,,End user case studies,PR/AR / Thought Leadership / Speaker Support,,Speakers Bureau and member emails,,,Somewhat well,,No,,,,,I do not have any suggestions,,,,,,I was not aware of the monthly Marketing Committee calls,I have not attended a marketing committee meeting,,,,,,I do not have any improvement suggestions,,No,,,,,,,I have not submitted a request of CNCF staff,I have never submitted a request to CNCF Staff,,Networking with other companies in the space,,,Helping raise awareness of CNCF projects to reach critical mass,,,,Somewhat meets expectations,,Yes,,
Less than one year,1-49,Silver,Yes,Other (please specify),VP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1 year,50-499,Silver,No,Developer relations / community,,Sponsorship of CNCF Events: KubeCon + CloudNativeCon,,,,,Kubernetes blogs,,KubeWeekly,,,"Partner Programs (KTP, KCSP, Certified K8s)",,,,Somewhat well,,I was not aware of networking opportunities with other CNCF members,,,Better communication as to how to get involved,More support on aligning these programs to member goals,,,,,,,Never,I have not attended a marketing committee meeting,,,,,,I do not have any improvement suggestions,,No,,,,,,,I have not submitted a request of CNCF staff,I have never submitted a request to CNCF Staff,Marketing programs,,,Demonstrating thought leadership,Helping raise awareness of CNCF projects to reach critical mass,,,,Somewhat meets expectations,,Yes,,
3 years,"5,000+",Silver,No,"Technical, engineering, developer",,Sponsorship of CNCF Events: KubeCon + CloudNativeCon,Sponsorship of CNCF Events: Kubernetes Forums,,,,,,,,,,,,,Very well,,Yes,More Sydney-based events,,,More support on aligning these programs to member goals,,,,Atlassian runs an annual Summit event for our customers and ecosystem partners.,,,Never,I have not attended a marketing committee meeting,,,,,,I do not have any improvement suggestions,,Yes,,,Email to an email alias,Email to specific CNCF person,,,,Extremely helpful,,Networking with other companies in the space,,Demonstrating thought leadership,Helping raise awareness of CNCF projects to reach critical mass,,,,Completely meets expectations,,Yes,,
3 years,"5,000+",Silver,No,"Technical, engineering, developer",,,,,,,,,,,PR/AR / Thought Leadership / Speaker Support,"Partner Programs (KTP, KCSP, Certified K8s)",,,,Somewhat well,,Yes,,,Better communication as to how to get involved,More support on aligning these programs to member goals,,,,,,,I was not aware of the monthly Marketing Committee calls,I have not attended a marketing committee meeting,,,More information on how members can get involved in marketing programs,,,,,Yes,,,,,,,I have not submitted a request of CNCF staff,I have never submitted a request to CNCF Staff,,Networking with other companies in the space,,Demonstrating thought leadership,Helping raise awareness of CNCF projects to reach critical mass,,,,Somewhat meets expectations,,Yes,,
Less than one year,1-49,Silver,No,"Technical, engineering, developer",,,,,,CNCF Webinar Program,Kubernetes blogs,CNCF blog program on cncf.io,,End user case studies,,"Partner Programs (KTP, KCSP, Certified K8s)",,,,Neutral,,I was not aware of networking opportunities with other CNCF members,,,,,I do not have any suggestions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Less than one year,1-49,Silver,No,Other (please specify),CEO,Sponsorship of CNCF Events: KubeCon + CloudNativeCon,Sponsorship of CNCF Events: Kubernetes Forums,"Sponsorship of CNCF Events: CNCF project events (i.e PromCon, gRPC Conf)",Sponsorship of CNCF Events: Kubernetes Community Days,CNCF Webinar Program,Kubernetes blogs,CNCF blog program on cncf.io,KubeWeekly,,PR/AR / Thought Leadership / Speaker Support,"Partner Programs (KTP, KCSP, Certified K8s)",Speakers Bureau and member emails,,,Very well,,I was not aware of networking opportunities with other CNCF members,,,Better communication as to how to get involved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 years,1-49,Silver,No,Other (please specify),CEO,Sponsorship of CNCF Events: KubeCon + CloudNativeCon,,"Sponsorship of CNCF Events: CNCF project events (i.e PromCon, gRPC Conf)",Sponsorship of CNCF Events: Kubernetes Community Days,,,,,,,,,,,Somewhat well,,I was not aware of networking opportunities with other CNCF members,,,,More support on aligning these programs to member goals,,,,,,,Never,I have not attended a marketing committee meeting,,,,Marketing topics where members share best practices,,I do not have any improvement suggestions,,,,,,,,,,,,,,,,,,,,,,,
4+ years,50-499,Silver,No,Sales and Marketing,,Sponsorship of CNCF Events: KubeCon + CloudNativeCon,,,,,,,,,,,,,,Somewhat well,,I was not aware of networking opportunities with other CNCF members,,,,,I do not have any suggestions,,,Weekly office hours.,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Less than one year,"5,000+",End User Supporter,Yes,"Technical, engineering, developer",,Sponsorship of CNCF Events: KubeCon + CloudNativeCon,Sponsorship of CNCF Events: Kubernetes Forums,,,,Kubernetes blogs,,KubeWeekly,End user case studies,,,,,,Somewhat well,,I was not aware of networking opportunities with other CNCF members,,,Better communication as to how to get involved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4+ years,"5,000+",Gold,No,"Technical, engineering, developer",,,,,Sponsorship of CNCF Events: Kubernetes Community Days,CNCF Webinar Program,,,,,PR/AR / Thought Leadership / Speaker Support,,,,,Neutral,"When I took over in the role of interacting with the CNCF it wasn't entirely clear what all the benefits were or how to access them. Even today, I need to track someone down to figure out the process to leverage a benefit. I'm able to find the information but it's not always readily available.",I was not aware of networking opportunities with other CNCF members,,,Better communication as to how to get involved,,,,,,,,I was not aware of the monthly Marketing Committee calls,I have not attended a marketing committee meeting,,,,,,I do not have any improvement suggestions,,Yes,,,,Email to specific CNCF person,Slack,,,Very helpful,Marketing programs,,,Demonstrating thought leadership,Helping raise awareness of CNCF projects to reach critical mass,,,,Somewhat meets expectations,,Yes,"This is a weak yes. The CNCF job has done a good job marketing the space and helping it grow since its inception. But, the CNCF is filled with a fair amount of drama and vendor positioning against each other. The TOC has gone a long time without completing a vote (months and months) while adding complexity via SIGs whose chairs are going outside of their scopes. SIGs not not speed up TOC velocity. The end users are great but projects aren't doing a good job working with the end users.",
Less than one year,50-499,Nonprofit,No,Product / project management,,,,,Sponsorship of CNCF Events: Kubernetes Community Days,,,,,,,"Partner Programs (KTP, KCSP, Certified K8s)",,,,Somewhat poorly,,I was not aware of networking opportunities with other CNCF members,,,,More support on aligning these programs to member goals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 years,500-999,Gold,No,Other (please specify),Business Development,Sponsorship of CNCF Events: KubeCon + CloudNativeCon,Sponsorship of CNCF Events: Kubernetes Forums,,,CNCF Webinar Program,Kubernetes blogs,CNCF blog program on cncf.io,,End user case studies,PR/AR / Thought Leadership / Speaker Support,,Speakers Bureau and member emails,,,Somewhat well,,Yes,,,Better communication as to how to get involved,More support on aligning these programs to member goals,,,"more frequent webinars, Meetups, blogs, etc.",yes.  in person and virtual.  Developer to CIO;s. varies,,,Occassionally,Somewhat,Increased communication regarding how your company can strategically align with CNCF initiatives,Additional reporting on the performance of marketing programs,More information on how members can get involved in marketing programs,Marketing topics where members share best practices,Open discussion time,,,No,,,,Email to specific CNCF person,,Text / phone call,,Somewhat helpful,,Networking with other companies in the space,Direct access to developers in the community to promote our solutions or hire talent,,,,,,Somewhat meets expectations,,Yes,,
3 years,1-49,Silver,Yes,Other (please specify),Management ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
