My employer is (select one):,Which CNCF Project(s) are you currently maintaining?,Do you participate in a Technical Advisory Group?,,Do you interact with or engage with other CNCF projects outside of the ones you maintain? Which ones?,,"Would you recommend CNCF to other open source projects, and why?",,"Are you satisfied with the overall support your project receives from CNCF (e.g., marketing, budget, scholarships, events etc)",,Did you feel that the CNCF staff responded quickly to your requests?,,"Do you have a good understanding of the resources and programs available to you (i.e., CNCF ServiceDesk)?",,Do you have a good understanding of the Technical Oversight Committee and Technical Advisory Groups and know how to engage with them?,,"Do you find the metrics provided by the CNCF (DevStats, CloMonitor, Project Health) valuable for the needs of your project?",,Did you feel that the Technical Oversight Committee responded quickly to your requests?,,What project benefits are you satisfied the most with?,"If you have applied to move levels, did the process for moving levels match your expectations? Why or why not? If you haven’t applied, why not?",How do you feel about the current requests and requirements of projects moving levels or after graduation?,What services do you wish the CNCF provided that it doesn't currently?,"Any other feedback that you wish to share, from what CNCF can do more or what we should do less?"
Neither,Fluentd,No,,Yes,Nats,9,,10,,10,,9,,8,,8,,N/A,,"Marketing, Audits, Maintainer session tracks at KubeCon",N/A,"A bit mixed, I am surprised Nats has been blocked for so long to get graduated, I think bureaucracy is not that good and there should be some flexibility.",n/a,Overall very happy with the support and services provided by CNCF
A vendor of cloud technology,Strimzi,No,,Yes,"Mostly projects we use as dependencies, integrations or which depend on us (Kubernetes, Prometheus, Open Policy Agent, Keycloak, OpenTracing, Knative, etc)",8,CNCF is a good vendor neutral home for projects related to Cloud Native.,7,,9,,8,,6,Yes for ToC. I think the TAGs are a bit more complicated due their high number.,10,Especially the DevStats are a great resource.,8,,n/a,"We are currently in the state where we applied for incubation. The process and the requirements could be more clear and it could go faster. However, given the number of projects, TAGs, and other work, I understand that things take time and everyone is busy.",n/a,n/a,
A vendor of cloud technology,Pravega,No,,No,,8,It provides good visibility for projects and has an accessible project sandbox path,7,"While I may have no visibility on that, I haven't seen many direct interactions from CNCF to support our project (apart from providing some AWS resources and sporadic marketing material, which is great)",8,,5,,5,,10,,8,,AWS resources and metrics,"I haven't, as the project needs to increase adoption",n/a,Meetings to connect companies and use-cases with CNCF projects,
An End User company (not involved in direct monetization of CNCF projects),"ko, knative",Yes,,Yes,,8,,6,,N/A,,3,,3,,6,,2,,Not sure if we've taken advantage of any (at least not that i've been involved with),N/A,Unclear,Help identifying projects ready for moving to new levels and going through the process. It's hard when maintainership of a project isn't a full time job to find the cycles to research and push on that.,
A vendor of cloud technology,Cortex and Thanos,No,,No,,10,,10,One thing is that I applied for some CNCF cluster resources but it takes a long time and still not approved,10,,7,,9,,10,,10,,Marketing and Mentorship support.,We haven't applied because we are already incubation and we think we are still not ready to graduate.,NA,NA,
An End User company (not involved in direct monetization of CNCF projects),ContainerSSH,No,,No,,5,,5,Haven't used any of them as we don't have as much time to work on the project as we want.,5,,10,,5,,1,,N/A,,The neutral legal ground for the project,N/A,"N/A, we can't work on the project as much as we would like to. However, this is hopefully going to change soon.","Infrastructure-as-code for the GitHub organization, such as what we do with github-terraform: github.com/containerssh/github-terraform",
A vendor of cloud technology,SchemaHero,No,,Yes,"Many. K8s, Helm primarily",9,Confidence in project longevity it conveys to enterpries,8,"It's just a sandbox project, there aren't as many resources",10,,10,,10,,8,,N/A,,Kubecon project pavilion,n/a,a little vague,always more project marketing,
A vendor of cloud technology,Falco,No,,No,,8,"The CNCF events have a great ecosystem in which new projects can thrive, and is backed by a large and growing community of contributors and practitioners. However, I'd still argue that some processes are still not entirely defined.",8,"CNCF has been providing our project great support over the past few years. During last KubeCon EU, the project had great spaces and locations for both the Project Pavillion and the maintainer track session, which was a nice improvement since KubeCon NA 2022 and gave us the opportunity to connect with many more contributors and users. On a more technical perspective, the project will need some extra assistance for maintaining and improving the open infrastructure that runs all our automated workflows and supports our development activity.",7,"In general, CNCF contributors and its staff have been very approacheable and available. The optimality of on the interactions with the CNCF for our project has so far been dependent on the kind of request and who's volunteering to respond. For example, the conversations about improving our open infrastructure and estimating its cost took longer than I expected.",7,,8,"I think that the entities and their roles, along with the associated processes, are properly documented and that newcomers can easily find their way to engage with the TOC and the TAGs. One downside is the occasional reliance on synchronous periodic communication, which can potentially make it more difficult to participate for community members in less favorable time zones or that are not fluent in english.",8,"My personal experience is mostly associated with DevStats, which in the past have been a truly valuable tool for monitoring the trends and activity in our project's community.",6,"The TOC has the duty of following and assisting many projects, and so I think the bandwidth of its members is generally limited. This can occasionally cause inconsistent support and delayed responses. Among the TOC sponsors of our project in its ongoing journey for graduation, only one of them had consistent and steady communication with the project's maintainers group, both asynchronously and in person at KubeCon.","For our project, I think the most valuable benefits have been the on-site spaces for the Project Pavillion and the Project Meeting at the KubeCon in-person events.","Our project already moved levels from Sandbox to Incubating, and is currently under review for becoming a Graduated project. The process of moving levels is being increasily documented but it's still not entirely clear in my opinion. When working on the documents and resource necessary for moving levels, the expectation would be to receive a fair review by fulfilling all the documented requirements one by one. However, for our project the review process took quite some time (which is expectable considering the limited bandwidth of the TOC), and we received some pushback and re-iterated on some points due to undocumented requirements or not fully transparent criteria. Among those, I think that for us some of the most relevant pain points have been the irregular communication with the TOC and its sponsoring members, and the graduation goals being altered during the review phase. Overall, I think active and precise communication could prevent this kind of issues, along with defining an exhaustive and non-arbitrary list of goals for the change of levels.","I think that the documented parts of the process are overall satisfactory. The issues we've faced as maintainers of our project are mostly related to opaque, implicit, or undocumented requirements encountered later during the review phase. The general feeling was similar to facing a meticulous examination without being certain on how to come fully prepared. This made us put extra focus in parts that turned out being less significant than expected, and overlook details that the TOC considered more relevant without prior notice.","I think the CNCF could provide further assistance to projects moving levels, specially to those aiming to graduation. This could be attained by allocating dedicated staff members for supervising the process full time, to better guarantee maximum transparency and uniformity to all the applying projects.",
A vendor of cloud technology,Falco,No,,Yes,"Kyverno, Argo",9,"I would, it's a good benefit for a project to be associated with Kubernetes and other cloud native projects. The CNCF events like the Kubecon are really important dates we can take advantage of. Howerer, even if the process are written, all criteria to move from one level to another are not transparent, and we may stay in the dark for a while without any detail.",8,"The last Kubecon organization (EU) has been terrific, the localization and the quality of the booths were excellent, it created a lot of traction and discussions around the project. Having the possibility to record webinar for the main website is also a nice thing. My main trouble would be with the support for the marketplaces, none was able to help me with the integration of our project as a product/project in the major Cloud Providers' marketplaces.",6,"It depends who's concerned. With the marketing team, Amye or Chrys, it's always quick and easy to open a discussion but with volunteer contributors, we may stay without answer for a while. The situation can be tricky when you're waiting for a move of level.",8,,5,"Most of the communication are made in live calls too late for EMEA or Asian people, and for non English speaking persons its too hard to follow. Using async communications would be easier.",9,,4,It's often hard to reach them or just having feedback. It's especially important when we have requested for a change of level.,- Booth at Kubecon - Online Webinar - Visibility in the landscape - Metrics from devstats,"Even if a lot is written, we still have the feeling that some criteria are not. And the process and requirements may change without any notice, impacting our effort. I understand the process is a long journey, but we should have more communications, especially for little things that are not critical and that could be fixed easily if communicated. The feedback are also not always consistent from one TOC member to another.",See previous feedback,"- Especially for Graduated level, we should have more advices and help in the process. It could be the role of the sponsor. - An easy way to integrate our events into a shared agenda between projects",
A vendor of cloud technology,KubeVela,No,,Yes,OpenKruise,10,,10,,10,,10,,10,,10,,10,,The CI resources for tests provided from CNCF,We have just moved to Incubation.,"It's good, more attention coming to the projects.",Currently not,
An End User company (not involved in direct monetization of CNCF projects),Falco,No,,No,,10,,6,,10,,7,,7,,10,,8,,N/A,"N/A, I became a Maintainer for the Falco Project at a later stage, after it had already applied for graduation.","The current requests and requirements for projects moving levels or after graduation are generally appreciated. However, there is a desire for more standardization and level setting of requirements across projects, including those that have already graduated. While each project addresses a unique and challenging problem, some projects face additional difficulties. For example, Falco, as a security monitoring tool, requires specialized knowledge in multiple domains, and tackling security challenges can be particularly demanding. It is important to consider these differences when evaluating success criteria, whether it's graduation or adoption success stories.","One potential service that the CNCF could consider providing is offloading technical trainings or tutorials that go beyond the scope of individual projects. This could involve offering resources on topics such as the Linux kernel, key security concepts, or data pipeline and data analysis concepts that are relevant to multiple projects within the CNCF ecosystem. By providing such resources, the CNCF can support project adopters in acquiring the necessary knowledge and skills to effectively utilize and integrate CNCF projects into their environments.",
A vendor of cloud technology,KubeDL,No,,Yes,,10,,10,,10,,10,,10,,10,,10,,branding support at meetups,"yes, it matches my expectation. Currently, we arent yet applying because we still need to expand user adoption",It is of resonable complexity,Have a written list of channels where projects can leverage to promote,
A vendor of cloud technology,Falco,No,,No,,6,"Given its rich ecosystem, I would generally endorse CNCF to other open-source projects. CNCF events already have a robust structure that projects can take advantage of. However, I'd also advise a newcomer that CNCF's internal processes are not entirely clear, and the level of support that each project can get varies. For instance, the absence of an established procedure for addressing concerns or escalating discussions could be improved. More details will follow in subsequent responses.",8,"The support for marketing and events has been great. We had a great time at the project pavilion at the last Kubecon. It was a fantastic place to meet users, discover other projects, and make new friends. CNCF's help with infrastructure is ok, but our growing infrastructure needs more, and we hope CNCF can help us with that. Finally, our awareness of scholarships and other services that CNCF offers is limited.",7,"Interactions with the CNCF team are dependable and steady. We're grateful that Amye, Chris, and the marketing team are approachable and always open to discussions. However, for those contributing on a voluntary basis, the engagement tends to be inconsistent. Further details on this will be provided in the following answers.",5,I've primarily used the CNCF service desk. I can't say I have a good understanding of all resources and programs available.,7,"Although processes are documented, engaging with TAGs is challenging due to synchronous communication demands, like video and Slack. This is tricky for global open-source projects due to time zones and language barriers, leading to one-sided discussions. Preferring asynchronous communications, like emails, could equalize time zone differences and grant non-native English speakers more response time, possibly mandating all critical decisions on mailing lists with an acceptable response window.",7,"I've used DevStats, and I found it overall valuable though the data is not always accurate.",3,"It appears that the TOC has not enough capacity, leading to delayed responses, variable support, or engagement levels. We applied for graduation, and among our project's TOC sponsors, only one maintained consistent involvement with us. This resulted in mismatched expectations between the TOC and our project.",Not sure.,"The process for advancing levels can appear unclear. Despite TOC's documented processes and the belief that fulfilling all requirements paves the way for a fair graduation review, the experience often falls short. Reviews are time-consuming, and unexpectedly, projects sometimes confront requirements not documented initially. Feedback often arrives late, and regular communication from TOC sponsors seems to be lacking. We've faced moving graduation targets mid-review, which could have been prevented with earlier communication. Overall, the lack of precise requirements, inconsistent communication, and, most importantly, the alteration of evaluation criteria after a project has applied to progress levels do not result in a satisfactory experience.","The documented criteria for graduation appear to be good. However, the challenge arises from the undocumented, variable requirement I've encountered in my personal experience (and I've heard similar rumors from other projects). Ideally, CNCF should focus on aiding projects transition to the next level with TOC guidance rather than imposing what feels like a rigorous examination with unclear and shifting requirements. In this regard, a concern seems to be the volunteer-only nature of the TOC, leading to inconsistent communication and standards. I propose that CNCF appoints a dedicated staff member to oversee the process, ensuring uniformity, equitable information sharing, and a more dependable and transparent procedure.","- Assisting and advising projects on how to advance to higher levels should be part of the services offered by CNCF. - An event registration platform that can be seamlessly integrated with project websites, such as Eventbrite or a similar tool.",
A vendor of cloud technology,Karmada,Yes,,Yes,Kubernetes,10,,10,,10,,10,,10,,10,,10,,"As an official CNCF project, it is recognized by users.","Yes, we applied to move levels. The process is hanging for a while to assign a sponsor.",NA,NA,
A vendor of cloud technology,Nocalhost,Yes,,Yes,KubeVela,9,,9,,9,,9,,9,,9,,9,,"We can directly contact the authors of many projects, which is convenient for us to cooperate on projects.","Because our project is not yet mature enough, we need to continue to conduct market verification.","I think it's stricter, but it's helpful for the project",not yet,
A vendor of cloud technology,Curve,No,,No,,9,,N/A,,8,,8,,7,,7,,8,,Increase the popularity and influence of the project.,have not applied to move levels yet.,"These requirements are very detailed. The project I maintain has not yet reached the higher level requirements, but these requirements are of great significance to our project development guidance.",not yet,
An End User company (not involved in direct monetization of CNCF projects),"containerd, Lima",Comments:,Occasionally (TAG-Runtime),Yes,Kubernetes,10,,10,,10,,8,,8,,8,,N/A,,Branding,"containerd: Yes Lima: haven't applied yet, as Lima just joined Sandbox last year",Satisfying,"Free access to LLM such as GPT-4, e.g., for translating documents",
A vendor of cloud technology,KubeVela,No,,No,,9,CNCF gives lots of supports and advices for running open source projects.,10,Great supports!,8,Generally pretty quick.,8,We have tried to use some of them.,8,Had some experiences interacting with them.,6,Looks good. Haven't had a try.,8,Generally quick.,Advices and supports for technical and marketing.,"Yes, we have moved KubeVela from sandbox to incubation which gives us more resources for running community.",Great.,Supports for providing some DNS/domain. Supports for auto translation tools or services for videos/audios.,
A vendor of cloud technology,wasmCloud,No,,Yes,"Kubernetes, NATS, cloud events, cloud custodian",10,"Community, marketing, ecosystem",7,Sandbox is hard as the CNCF is constantly growing and evolving; it's hard to keep up with all of the opportunity.,10,Staff is amazing.,8,I think so?,7,The TAGs can be a little hard to keep up to speed with.,10,These are really helpful.,10,"Depsite an overwhelming amount of work, they really make progress!",Monthly marketing meeting is a must attend.,Working on incubating now.,reasonable.,More monthly summary meetings - like a checklist of all of the things we could / should do in a month.,
A vendor of cloud technology,Hexa Policy Orchestration,Comments:,Occasionally join the security TAG,No,,9,,7,I'm sure we could do more to leverage these services,7,,10,,10,,8,,10,,"The availability of tools such as FOSSA and Snyk, although we'd like some assistance in actually getting them licensed and implemented",We are not mature enough to apply for incubation,No issues at the moment,n/a,"Orientation for new projects: CNCF, TOC and TAG assume that new projects know their way around - which can lead to delays and lots of miscommunication."
A vendor of cloud technology,Knative,No,,Yes,"Contour, Gateway API, CloudEvents",8,"Having an existing organizational structure to support governance, marketing, etc is much easier than trying to do it yourself.",7,"I think we could do better in taking advantage of these resources, but I'm not sure that it's the CNCF's fault.",8,"Overall, our requests have been handled reasonably quickly, given the complex nature and history of our project (4 years outside the CNCF)",9,,8,I haven't had as much time as I'd want to engage with these groups; I'm not sure how other projects end up handling this type of engagement.,9,"Yes, these are very helpful, and a big draw of CNCF.",N/A,,Independent ownership separate from any vendor. Participation in KubeCon and other events. Access to CNCF ambassadors,"We're in the process of preparing to move from incubating to graduated, but the checklists seem fairly clear.","They seem like a reasonable balance between consumers (few levels, make levels meaningful in terms of recommendation) and project maintainers (everyone is a snowflake)",I'm not sure.,
A vendor of cloud technology,kubereboot/kured,No,,Yes,"cluster-api, kubernetes/kubernetes, kubernetes/autoscaler",10,"Indeed! Governance model is mature, support is great, conference footprint is great.",10,,10,,8,,10,,9,,10,,Association with world-class cloud-native initiatives.,N/A so far.,No complaints.,Standardized documentation tooling and hosting services.,
A vendor of cloud technology,Antrea,No,,Yes,Kubernetes,9,"Good technical support for OSS projects (tooling, etc.)",10,,9,,9,"Documentation is generally helpful, but could be more comprehensive / up-to-date",N/A,,10,,10,,"Easy access to sponsored tools (Netlify, Github, etc) Ability to showcase project at the Kubecon project pavilion","We are looking into applying for ""Incubating"" We believe that we qualify, we just god sidetracked by other priorities",Seem fair to me,N/A,
A vendor of cloud technology,MetalLB,No,,No,"Sometimes I engage with k8s, but not that much",9,,10,,10,,9,,8,,10,,N/A,Never had requests,Cloud credits,I haven't applied to the next level mostly because of hte lack of bandwith to start the process,They seem fine,nothing that I need,
A vendor of cloud technology,Konveyor,Yes,,Yes,Kubernetes,8,,8,,10,,10,,8,,10,,N/A,,We have used the design team's help with the logo and the turnaround was great. We really benefited from the project pavillion kiosk in KubeCon AMS,We just got accepted as sandbox project last year. We are establishing our project and community right now. Hoping to gain some adopters soon and apply for next level.,N/A We are a sandbox project now and havent applied for next level,N/A,"Spotlight for sandbox project, blog posts from sandbox projects will help create more awareness for lesser known projects."
A vendor of cloud technology,Submariner,No,,Yes,"Kubernetes, Operator Framework",9,For cloud-native projects it provides great support and resources.,10,We don’t use enough of it...,10,,10,,8,,7,,N/A,,GitHub compute minutes.,We’re not ready yet.,"They seem fair, and are understandable.","Hosted Gerrit (as in LF Networking, see OpenDaylight).",
An End User company (not involved in direct monetization of CNCF projects),"Keptn, Kepler",Comments:,"No, Time zone challenges",Yes,Kubernetes,10,,10,,8,,6,,8,,9,,7,,"maintainer scholarships, devstats (not LF insights) good community","yes, have seen an incubation and sandbox and it was good. the process was good and uplifted both projects",no personal opinion but I have heard they are moving slowly but surely.,can't think of any,keep up great work and thanks
An End User company (not involved in direct monetization of CNCF projects),Akri,Yes,,No,,9,Clear structure on community engagement and support on marketing at KubeCon events.,9,,10,,8,,9,,7,,N/A,,Mainly community exposure on CNCF project landscape. It has brought in people from other companies and built up the project.,"We were mainly driven by one company (Microsoft) but that is now changing. Once we have clearer multi-company maintainership and have a 1.0 release, we may apply to move up.",Good.,Coaching on how to run an OSS community. We have new maintainers that are not as familiar with OSS community work that could benefit from a training.,
A vendor of cloud technology,kubewarden,No,,No,,10,,10,,10,,10,,8,,10,,N/A,,"Being part of a bigger community, have the tools required to grow the community of the project itself","We haven't applied yet. Too busy, plus afraid to not reach the requirements",They seem reasonable,No idea,
A vendor of cloud technology,Contour,No,,Yes,"Kubernetes, Envoy",7,,7,,10,,7,,5,,7,,N/A,,KubeCon maintainer track speaking slots,Haven't applied - need more maintainers from other companies,They seem reasonable from what I understand.,N/A,
A vendor of cloud technology,Contour,No,,Yes,"Envoy, Gateway API",10,,7,,8,,4,,5,,7,,6,,Funding for cloud accounts,"Have not, due to organizational changes","Not really much to comment on here, seems appropriate",Better unified calendar/mailing support etc.,
A vendor of cloud technology,cert-manager,No,,No,,8,,5,"I wish we had more help for growing our community. For example, I recorded a few interviews with folks at KubeCon about cert-manager, but I don't have enough knowledge on video editing to make a promotional video out of them.",8,,7,,5,,8,"I wish these metrics also included numbers about the Slack channel (e.g., number of users in the Slack channel cert-manager))",N/A,,"The cert-manager booth at KubeCon is an absolute success, we love it.","We are still to apply for Graduation. We have been slow to apply due to the fear of not being able to prove that cert-manager isn't ""jetstack-only""",The requirements look OK. The security audit for graduating is an excellent thing.,Help with video editing and with community management!!,
A vendor of cloud technology,Emissary-ingress,No,,Yes,"Envoy, Envoy Gateway",8,"I think it provides a lot of support for open source projects. Kubecon is a great way to connect, get feedback and engage with your community.",9,,10,,8,,9,,6,,N/A,,Our services in Github and CI are great. Being able to take advantage of the advance security features has allowed us to improve the security position of our project and remove cve's.,N/A,N/A,I'm happy with the current services that are provided and know there are still services that I can take advantage of.,
An End User company (not involved in direct monetization of CNCF projects),CubeFS,No,,Yes,Kubernetes、prometheus,9,CubeKV,10,,9,,10,,9,,9,,9,,Attract more users to use,Yes,current requests and requirements is very necessary,more tutoring,no other suggestions
A vendor of cloud technology,"grpc-java, grpc",No,,Yes,"envoy, istio, kubernetes",9,,6,"not sure about many things mentioned here: marketing, scholarship etc",N/A,,3,not familiar with support and servicedesk,6,,7,,N/A,,"community and being part of events like KubeCon and CNCFCon, IstioCon etc",-NA-,Don't know,"marketing, advertisement, awareness",
A vendor of cloud technology,Istio,No,,Yes,"Envoy, Kubernetes, Prometheus, OpenTelemetry, OPA, Spire",10,,10,,10,,8,,8,,10,,N/A,,marketing,Moving Istio to a graduation phase is taking longer than expected even though Istio clearly meets all requirements. The slowdown and roadblocks seem arbitrary as the larger CNCF community would benefit from istio being a graduated project,Mostly adequate except the comment above,N/A,
Neither,Backstage,No,,Yes,,10,,10,,8,,7,,9,,10,,N/A,,"There's many, but I think the maintainer track talks at kubecon have been very good for us to engage with adopters and contributors.","We're looking at graduation soon, but no solid plans yet. Feels a little daunting and possibly time consuming.","Pretty solid, there's obviously a higher bar for graduation and that's fine, we expect that.",Nothing that springs to the top of my head - but will reach out if I think of anything.,
A vendor of cloud technology,Piraeus Datastore,No,,No,,7,,8,,10,,10,,10,,7,,10,,Promotion and visibility.,"We haven't applied, as the project still does not feel mature enough to move up.",The requests and requirements seem sensible to me.,None.,
A vendor of cloud technology,TiKV,No,,No,,10,,10,,10,,10,,10,,10,,10,,Marketing,Other maintainers helped the application of graduation of TiKV.,N.A,N.A,
An End User company (not involved in direct monetization of CNCF projects),Vitess,No,,Yes,OpenTelemetry,10,,7,,N/A,,2,,1,,5,,N/A,,Website maintenance,Yes,Seems fine,"More website maintenance, release tooling",
An End User company (not involved in direct monetization of CNCF projects),Dex,Comments:,"No, but I'd like to",Yes,"Many of them, more than 10 in total",9,Developers support,10,,8,,6,,4,,10,,8,,"Help with docs, snyk",It is not clear for me now what should we do to move on the next stage.,"Too many sandbox projects, hard to differentiate","My project requires test accounts for integrations with other providers, e.g., Okta, Google, Azure and so on.",
A vendor of cloud technology,Tinkerbell,No,,Yes,,8,"CNCF doesn't make sense for all projects, but when there is a match, CNCF provides great support and visibility.",10,,10,,8,,8,,10,,10,,-,-,-,-,
An End User company (not involved in direct monetization of CNCF projects),Armada,Yes,,Yes,Kubernetes,10,,7,,3,I wish there was a slack help channel rather than ServiceDesk.,1,,6,,6,,5,,Mentoring,N/A,N/A,Infrastructure for CI,
A vendor of cloud technology,KubeArmor,No,,No,,10,,10,,10,,7,,7,,10,,N/A,,Access to Open Source programs like LFX mentorship and Google Summer of Code are playing an important role in developing the contributors ecosystem for KubeArmor.,We haven't applied yet because we still feel that the project needs some more maturity to move to the next stage. We also need some diversity in KubeArmor maintainers and contributors list.,I think that the requirements are great and helps the organization's overall growth.,More collaboration between the CNCF projects and the TAG and TOC will greatly help the maintainers.,
A vendor of cloud technology,Pixie,No,,Yes,"nats, kubernetes",9,,9,,10,,8,,4,,10,,7,,"Project pavillion at Kubecon, project meetings at conferences, access to CI/CD resources, scanning tools etc.",We have applied to move from sandbox to incubation. The process seems to be stalled and has been somewhat frustrating due to the lack of clarity and communication.,The current set of requirement seem ok if lengthy.,Access to more cloud services to help run build and test infrastructure.,
A vendor of cloud technology,Prometheus,No,,Yes,"OpenTelemetry, Kubernetes",8,,8,,8,,8,,8,,8,,8,,"CI, legal",N/A,I don't have enough context to comment.,None,
A vendor of cloud technology,"Istio, Kubescape",No,,Yes,"I interact with maintainers from dozens of projects; some through integrations, others socially or professionally.",2,The value alignment is currently not in favour of innovation - Alexis made this point well in a recent TOC meeting.,6,It feels like there are too many CNCF projects for meaningful contribution to any one.,4,Some people are very responsive (Rob Kielty and Lukasz Gryglicki deserves a shout-out); some things we have been waiting months for a resolution on.,10,,10,"I know how to engage, but I think the model is broken and want to see wholesale changes. I have engaged in the ways that are appropriate.",6,Devstats is great and Lukasz deserves a medal.,1,"The TOC was founded as 9 members when the CNCF had one project, and expanded to 11 at a time when it had 42 projects. There are 152 projects today. It is reasonable to think that 11 members can no longer provide the same level of service.","I feel that today, many projects join the CNCF simply to be able to participate in the KubeCon ecosystem.",No. My opinion on this topic is on the record and the TOC suggest it is being addressed.,Substantial overhaul of the process is required. I would volunteer to lead this but I am probably perceived as biased.,"Give each project their own session (or block of sessions, based on size) at CloudNativeCon.",
A vendor of cloud technology,Clusternet,Yes,,Yes,"Kubernetes, containerd, helm, etc",10,CNCF is a well-known organization in the open source community. Projects hosted here are likely to benefit from increased visibility and recognition.,8,We hope to get a tour on all the resources we can rely.,8,The review process of sandbox projects is quite slow. It may takes about 6 months to 2 years before a project gets accepted since applying.,7,"No. Most of the listed supports are not available. Such as, we have no idea where we can ask help to improve project documentation.",7,"I just don't know how to engage with TOC, except sending direct slack messages.",7,A little bit.,7,Maybe TOC has lots of things to do.,Maintainer track sessions on every KubeCon,Currently the project is not mature enough.,I think applying incubating projects has a high bar.,Help attract more contributors all over the world,
A vendor of cloud technology,open-cluster-management,No,,Yes,kubernetes,9,,9,,8,,7,,6,,9,,N/A,,project hours in kubecon,"not yet, we are still trying to get more adopters.",looks good to me,an automation system for us to do integration/e2e test.,
Neither,Harbor,No,,Yes,"Docker Distribution, Kubernetes,",9,"It depends, but if it is in the k8s space definitly",6,"Not very transparent, of different option, outdated resources, diffrent sources github, website. hard to find",9,,5,,6,,7,,N/A,,"Project Kiosk at KubeCon, CNCF Brand,",N/A,N/A,not sure,
A vendor of cloud technology,Rook,No,,No,,8,,9,,10,,9,,N/A,,9,,N/A,,N/A,Rook has already graduated.,N/A,N/A,
A vendor of cloud technology,Dapr,No,,No,,8,,5,,9,,7,,7,,10,,N/A,,DevStats,N/A,All good,N/A,
A vendor of cloud technology,Dapr,No,,Yes,"Knative, CertManager",8,Not full star based on answer to 7 below,7,"Putting a link to this service request as an example of the project support  In essence for Incubating and Graduated Projects there needs to be a program manager in CNCF that works with the maintainer to understand how to navigate the complexities of the org. Furthermore CNCF does provide some tools to help maintainers, but maintainer are also working to build their communities. Having CNCF provide community building resources would help tremendously.",8,"This is a big depends. On Slack and Email, yes for sure, the response is fast. On service tickets no. I have a request open from Oct 2022 and still no response or action.",7,"Sort of. I read this list and understand this, but is it navigating this to understand how to use the resource. Having some help here would be amazing.",5,Only the App Delivery Group,6,"DevStats is sooo hard to use with few good examples. CloMonitor is ok, but there are best practice that are not relevant like Github Discussion and Slack that need to be N/A (Dapr has a thriving Discord community and Slack is not useful in this case). Did not know Project Health existed, first time I have seen this tool and suspect the same for most Dapr Maintainers",N/A,,Maintainers Talk at KubeCon KeyNote updates on each project at KubeCon Security Review,N/A,"It would be useful to have CNCF reach out to Maintainers and ask about are they ready to move, for projects that should be moved along faster.",See https://all.devstats.cncf.io/d/53/projects-health-table?orgId=1 https://www.holopin.io/ https://streamyard.com/ Budget of $200-300/month to spend on community services,Can you make these form boxes larger! :-) They are very small and all on one line.
A vendor of cloud technology,Carvel,Yes,,Yes,Kubernetes (primarily) and other projects centered on it.,10,Becoming a CNCF project helped us connect with a large number of our users and bring them into the fold of our community,10,CNCF scholarships allowed our team to have a presence at KCEU 23 and host our first ever in-person project meeting. This helped us connect with the community and gauge what the best direction for the project would be.,8,,7,"We do have a community manager who deals with interfacing with CNCF for us, but it might be useful to get some of this context",10,,8,,9,,The scholarship to the conference really enabled a lot of us and allowed us to connect with our community,We just got into the sandbox and we are looking forward to engaging with our community and working towards incubation.,I am still getting familiarised with these as we work towards incubation,"We have raised a request for help with revamping our site, we are looking forward to working with your team!",
An End User company (not involved in direct monetization of CNCF projects),external secrets operator,No,,Yes,"cert-manager, cilium, Kubernetes",10,"it helps with guidance, governance, marketing, provides a neutral ground for a OSS community project.",10,,7,,9,,10,,10,,10,,"KubeCon booth was a HUGE benefit; We were able to get in contact with our users, contributors, vendors. Being part of the CNCF network is also a big benefit that allows us more easily to start a conversation or to get help.","We haven't applied yet, but are heavily considering to move to incubating. We are not sure if we would meet the conditions.",-,"As we heavily integrate with Cloud services (AWS, GCP, Azure, IBM, Oracle...) we would love to piggyback on existing accounts.",We're very happy with the CNCF and appreciate your work and effort you put into open source <3
A vendor of cloud technology,KubeVirt,No,,Yes,"crio, olm",8,"Friendly, professional",8,,9,,6,,6,On me to learn more,9,,N/A,,Getting space at conferences to discuss the project. KubeCon 2023 AMS was awesome for KubeVirt,"The process to move to incubation was a little painful, because the process underwent changes at that time.",I need to catch up,N/A,
A vendor of cloud technology,Metal3 and Cluster API provider OpenStack.,No,,Yes,"Cluster API, Kubernetes",9,,8,,7,,5,,6,,6,,N/A,,"Guidelines and help with improving the project health. It is valuable to get this from a third party since it makes it easier to explain why it is needed (not just ""my agenda"").",Yes it has matched my expectations.,It is a good process.,"Some kind of ""light weight"" review with suggestions before applying for moving level.",
A vendor of cloud technology,kube-vip,No,,Yes,"Tinkerbell, Kubernetes",10,From the exposure to things like the project pavilion at KubeCon .. the CNCF has been amazing for a project like kube-vip.,8,"Other than the events, I've not really had any additional support needs from the CNCF.",10,,4,"As mentioned I've only understood the events side of things, I've no real clue about the additional resources available.",9,,7,,10,"Yes, all questions I've asked in #toc have been handled super quickly.","The project pavilion for me has been the biggest one, along with the odd webinar","Currently the project is in the sandbox, it meets the requirements to move to Incubation however I don't think I personally would be able to meet the requirements and overhead of it being at that level.",See 14.,Perhaps a slightly tighter feedback loop.. I submitted the project to the CNCF sandbox and then I don't really get any feedback or any updates from the CNCF about anything project specific.,"Thanks for all the help, it is super appreciated for a small project 😍"
