My employer is (select one):,Which CNCF Project(s) are you currently maintaining?,Do you participate in a Technical Advisory Group?,,Do you interact with or engage with other CNCF projects outside of the ones you maintain? Which ones?,,"Would you recommend CNCF to other open source projects, and why?",,"Are you satisfied with the overall support your project receives from CNCF (e.g., marketing, budget, scholarships, events etc)",,"Are you satisfied with the support your project received at live CNCF Events (e.g., Project Pavilion, Co-Located events, Maintainer Talks)",,Did you feel that the CNCF staff responded quickly to your requests?,,"Do you have a good understanding of the resources and programs available to you (i.e., CNCF ServiceDesk)?",,Do you have a good understanding of the Technical Oversight Committee and Technical Advisory Groups and know how to engage with them?,,"Do you find the metrics provided by the CNCF (DevStats, CloMonitor, Project Health) valuable for the needs of your project?",,Did you feel that the Technical Oversight Committee responded quickly to your requests?,,What project benefits are you satisfied the most with?,"If you have applied to move levels, did the process for moving levels match your expectations? Why or why not? If you haven’t applied, why not?",How do you feel about the current requests and requirements of projects moving levels or after graduation?,What services do you wish the CNCF provided that it doesn't currently?,"Any other feedback that you wish to share, from what CNCF can do more or what we should do less?"
A vendor of cloud technology,Strimzi,No,,Yes,Either the projects we use or those that use Strimzi,8,,8,,8,,Strongly agree,,6,,5,"I understand the TOC role and what it does. The TAGs seem a bit less transparent to me and it seems that if you want to engage in them to do something, you either have to spend a lot of time listening to calls or needs to have a very specific need to solve. It does not seem to me like it is easy to just join a TAG to help with some problem I consider interesting and where I might be able to offer some help.",Strongly agree,,8,,n/a,I'm sure the overall time it took could have been shorter. But I get that everyone is quite busy and every day has only 24 hours.,They seem fair on paper. But I sometimes get the feeling that their evaluation is a bit subjective and different people at different times might take a more or less detailed look at them.,n/a,
A vendor of cloud technology,Istio,No,,Yes,"Envoy, Kubernetes",8,,7,,9,,7,,5,,4,,7,,4,,Perception,Slower than expected,Vague,.,
A vendor of cloud technology,wasmCloud,Comments:,I interact frequently with tag-runtime but I'm not officially a part of it.,Yes,"NATS, Kubernetes, CloudEvents, ArgoCD",Strongly agree,,8,,7,The Project Pavilion at KubeCon EU was not organized in a way that let us present wasmCloud successfully at that conference. Generally the pavilion works well but we were only able to have a wasmCloud booth for a third of the conference.,Strongly agree,,6,,Strongly agree,,Strongly agree,,6,,Belonging to the CNCF organization in GitHub is invaluable for us as a project to continue to iterate quickly and painlessly.,"We applied to incubating in October 2023 and it took quite a while, even supplying due diligence and coming in with a sponsor, to have any movement towards moving levels. Understanding that the TOC is a volunteer position I didn't want them to feel rushed, but there wasn't any movement for many months after our application. One of the other wasmCloud maintainers since worked with the TOC on the new process to move levels, I'm optimistic that it will be much easier to evaluate project requirements when it comes to moving levels.",I think the requirements to move levels are reasonable and we're looking forward to start looking at graduating requirements as high level goals for the project.,"As a CNCF project that had a Slack community before donating to the CNCF, it would be great to have additional support to have more of a Slack footprint than an individual channel. I feel that the #wasmcloud channel in the CNCF slack is generally quiet as we have many of our contributors and developers join our individual Slack. I think this is more of a slack problem than anything, but I find the CNCF slack hard to navigate and form a community in","Given the recent explosion of concern about companies that change licenses and yank the open source rug out from under projects and companies that depend on them, I would love to see the CNCF take a stance against fauxpen source."
An End User company (not involved in direct monetization of CNCF projects),Armada,No,,Yes,Kueue,9,"Large community, lots of events to connect with users.",7,Could use more clear marketing opportunities to attract users.,9,Pavilion tours were great.,8,,7,,8,,9,,N/A,,KubeCon kiosk and project meetings.,"We have users but they are not ready to publicly announce their involvement, so we haven't been able to apply to move levels yet. We also need to continue improving our documentation.",Seems reasonable.,More hand-holding for moving levels.,
A vendor of cloud technology,Tremor,No,,Yes,"k8s, prometheus",9,Great support,N/A,I didn't have time to participate in those,N/A,I didn't have time to participate in those,Strongly agree,,7,,7,,Strongly agree,,N/A,,Really all of them,-/-,did not interact,no need for other things,
A vendor of cloud technology,Carvel,No,,No,,9,The visibility that gives the projects is very important to help them get traction within the community,7,"Somewhat, would like to have a bit more support to help manage the project but apart from that I think it is great",9,,Strongly agree,,8,,9,,6,,N/A,,The visibility that the project got after being donated,"We were in the process of trying to apply to the next level, but due to some internal reorg/layoff in Broadcom, that was put on hold",They look reasonable,Help with docs and website creation,
A vendor of cloud technology,Knative,No,,Yes,"CloudEvents, KEDA",8,,7,,8,,8,,3,,2,,7,,N/A,,"Access to the CNCF slack instance is really helpful for interacting with the community. Additionally, the project kiosk at KubeCon is great!","I haven't been very involved with this process from the Knative side, but it seems to be taking a very long time. It also isn't clear to me how decisions are made in terms of which project is reviewed next for graduation (out of those that have initiated the process)",They seem reasonable to me.,It would be nice to have resources for starting CNCF students groups on university campuses.,
A vendor of cloud technology,Kubernetes,No,,Yes,"containerd, cilium, kubevirt, coredns, etcd, grpc, istio, envoy",8,good ecosystem and good infrastructure at the organization level,N/A,,5,"kubecon is a kubernetes event and I don't feel the proportion between kubernetes itself and its contributors and the rest of cncf projects is correct, specially on the keynotes, it should be at minimum a 75% for Kubernetes project contributors and the other 25% for the rest of the ecosystem",Strongly agree,,7,,2,I don't have a good understanding but as a Kubernets SIG lead in different areas also feel them confusing as is not the first time I detect other companies promoting Kubernetes features on this TAGs to users and customers that were not even discussed with the SGIS,Strongly agree,,N/A,,"I like the CNCF staff, people that listen and understand the problems also good balance between technical and social skills",N/A,N/A,The infra problem in Kubernetes may have some help from CNCF,"There are less maintainers in Kubernetes and the companies does not invest in maintainers, the project do not need new contributors, needs long time maintainers. I personally feel bad when I see in the Kubecon keynotes a lot of publicity about other projects but zero about the people that maintains the project. I'm personally the top contributor to the project during the last year and one of the top 10 of all time and never have a public reward from CNCF, the ones I have are only from my colleagues in the project from other SIGs"
A vendor of cloud technology,KubeVirt,Comments:,Not as much as I would like but I occasionally manage to attend TAG Contributor Strategy meetings,Yes,"Folks in the Community interact with Kubernetes quite a bit. Me personally, not so much.",9,"If a project was in the cloud-native space, I'm not sure if there is a better way to be supported.",9,,Strongly agree,It's definitely become more competitive to get a spot at some of these; having a dependable maintainer talk and a kiosk has been great for the project. We've only used the PR support once but will be timing our release again for KubeCon to be able to make use of it.,9,"For the most part. Is it fair to say that most staff are located towards west-coast US? In Europe we seem to have a day lag between messages which can make certain things drag a bit. Not a complaint, just a comment. I love the cncf staff.",7,"I do try and check in with this page a few times a year, but there's still probably quite a bit more that is available that we don't make use of.",6,"I know they exist and a general idea of what they do, and where to find them. I would not say I have a good understanding though",6,"Of these I use devstats the most, but still only occasionally. CloMonitor seems pretty useful but I only learned about it recently. The project health data also seems useful but the dataset is entirely too big and I can see no way to edit it to be able to view our project (in the middle) against the data descriptions, which makes it practically useless as it becomes either a time-consuming game of endless scrolling, or nameless data. It would be nice to be able to choose a subset to compare against other projects and see the descriptions together.",N/A,,"I wish we'd known about the event assistance earlier (we just finished running our online event). The maintainer talk and project kiosk at kubecons have been amazing, as has the one time we used the PR support (which we aim to use again in KubeCon NA 24).",I was only involved at the end of our move to Incubation. but we are about to apply for graduation; watch this space!,"Maybe I'm mistaken, but it looks like the information has been collated now in the graduation template. This makes it much easier to review and understand; that said, there are things on the template that are new information for us.",Honestly I'm not sure off the top of my head.,I've heard it expressed that there's a concern of sending too many emails. Personally I think you're in no danger of that. Separating kubecon-specific information from other more general cncf info would be helpful.
A vendor of cloud technology,kubernetes,No,,No,,9,,9,,6,"Project Pavilion location in Paris was great, but the timing of maintainer talks, especially the k8s meet and greet is sub-par.",9,,9,,6,,9,,N/A,I didn't interact with TOC,As mentioned before the location of project pavilion in the middle all the booths in Paris.,-,"Post-graduation I think each project should be audited if they continue to meet the graduation criteria and CNCF issue some kind of warning/red flag to the ones which are not, to provide better visibility that the project maintains the highest standards.",-,-
A vendor of cloud technology,k8gb,No,,Yes,"crossplane, coredns",8,"visibility, platform for presentations, cool stickers ;)",8,,Strongly agree,"I did k8gb lightning talk in Paris and it definitely helped with project visibility, I really appreciate this opportunity",Strongly agree,,7,I need to revisit them from time to time,6,"I know they do exist, but I am not aware of obvious straightforward ways to engage :)",9,CLOMonitor is the most actionable,N/A,,K8GB stickers! The ability of lightning talk and contribfests at KubeCons,I need to revisit it. Understanding the(new) process feels like quite amount of work,What's the best place to understand these requirements? :),Documentation platform support,
A vendor of cloud technology,Flux,No,,Yes,"Kubernetes, Helm, Notary, Kyverno, Open Container Initiative, Istio, Linkerd, SOPS",Strongly agree,Having a project is CNCF speeds up adoption and can lead to a diverse contributor base,9,,9,,9,,Strongly agree,,Strongly agree,,Strongly agree,,9,,KubeCon Maintainer Talks & Project Pavilion GitHub Enterprise & Copilot access,"The process was quite long and at times unclear about next steps, but Flux was early on this journey, things may have improved.","After the Linkerd drama, I feel like the requirements for graduated projects are more clear now.","I wish there was a way to obtain free credits for Azure, so we can end-to-end test Flux for AKS.",
A vendor of cloud technology,Keycloak,No,,No,,8,,7,,9,,N/A,,3,,6,,N/A,,N/A,,Maintainers track and project pavilion at Kubecon.,I do not know what it is,-,I am satisfied with the current landscape and I am not aware of any service missing.,
An End User company (not involved in direct monetization of CNCF projects),PipeCD,Comments:,Sometimes but not actively,Yes,"Flux, Karmada, KubeStellar",9,,7,,9,,Strongly agree,,9,,9,,9,,9,,Chance to communicate/collab with other projects under CNCF,I have not yet experienced that process,I have not yet experienced that process,I don't have anything currently,
A vendor of cloud technology,Kubernetes,Yes,,Yes,"kubean, containerd, coredns",Strongly agree,"CNCF can help the project grow. In the cloud native community and events, developers and users from different companies and communities can come togother to Fully discuss and jointly complete some project requirements",Strongly agree,"1. For kube, KCS and KubeCon maintainer tracks are great opportunities for kube contributors. 2. for sandbox, we have the project opportunities, but some sandbox maintainers complain about that they don't get talk opportunities in KubeCon for years(would we open some tracks for such projects that joint CNCF for more than 3 years and didn't get kubecon speak opportunities. 3. As we don't sponsor speakers in KCS for travel, we sometimes know some subprojects or sig maintainers that may want to KCS. BTW, someone complains that the travel funding is hard to apply, but some can get it for multi-times. (I am not sure if this is a good way that 2 or 3 maintainers can apply for the travel funding togother, 1 for 2000 dollars and 2 may only 3000 dollars for sharing room.)",Strongly agree,"For Kube, this is great but sometimes I heard complains about some SIG update has no much updates. Too many subprojects makes its harder for some subprojects to have opportunities. The project lightning talk program helps a lot in my view, but we did not do de-dup. Active speakers have both a maintainer track and project lightning.",Strongly agree,"As I am in China, I can always get responded in the night time. I really appreciated that.",8,I do not have much experience on that.,Strongly agree,"Yes, but I have no enough time to participate on TAG meetings. I will watch the recording accordingly and I also want to participate more in TOC meetings and works.",Strongly agree,All are great. My favorite is the contributor card for kubernetes 10 years. Can other projects have one as well as the card is so cool?,Strongly agree,"Yes. For projects that is in review to join or promote, toc is so busy about that and some application owners complain about the process, but I know the bandwidth of all TOCs, and I know the new process that TAG leads help in this.",Project lightning talks.,"For kube, it is GA. For other projects, I sometimes want help from CNCF to get to the end users. For instance, clusterpedia is used by many users, but we have no much resource to know who is using it and it needs many networking and efferts to get to those end users to ask about that. If we have a survey from CNCF and if an enduser said that they are using our sandbox projects, and it would be a great case study or use case for us to promote our projects and ask for participating and feature requests discussions.","Good questions. After graduation, we also needs to do a lot to keep the project sustainable. Some subprojects become stable and maintainers change their roles. We sometimes needs more help later as it's really not easy to update something old but stable forward.","For CNCF awards, I wondered if this can give more attentions to some localization/translators, probably top translators. For instance, windsonsea(Kubernetes\Istio\Karmada\Otel and many sandbox projects) and Qiming Teng(top kube documentation) in China.","The events in Q3 Q4 is too many: for APAC, KubeCon China in Auguest and KubeDay Japan is a week later. And we have some other KCD taipei(coscup) and Kubeday Austrilia."
A vendor of cloud technology,kubeovn,No,,Yes,kubevirt,Strongly agree,,9,,9,"github coplot, nice !",8,,5,,6,,6,,6,,kubeovn,"i am not in charge of to apply to move levels, so, i don't know the details.","i am not in charge of to apply to move levels, so, i don't know the details.","I don't know it, now. maybe later.",
A vendor of cloud technology,"Merbridge, Istio",No,,Yes,"vllm, pytorch, troton, ollama and etc.",9,,8,,8,,8,,7,,7,,8,,8,,Istio,N/A,This seems to be becoming more stringent.,N/A,
A vendor of cloud technology,github.com/openGemini/openGemini,No,,Yes,kubeedge,Strongly agree,,Strongly agree,,Strongly agree,,Strongly agree,,Strongly agree,,Strongly agree,,Strongly agree,,Strongly agree,,"Learned the community governance specifications and code submission process specifications, and increased the understanding of cloud native.",Ready to apply,Very standard and satisfactory,Don't know. It's probably comprehensive enough.,
A vendor of cloud technology,Istio Volcano,No,,Yes,Envoy Karmada Kubeedge,9,,Strongly agree,,9,,9,,9,,5,,Strongly agree,,6,,Booth at kubecon,"No yet, i did not iinvolve in the projects application. but i am going to apply another sandbox",NA,Scholarship to maintainers,
A vendor of cloud technology,"Argo, Kubeflow",No,,No,,Strongly agree,,Strongly agree,,Strongly agree,,Strongly agree,,Strongly agree,,Strongly agree,,Strongly agree,,N/A,,"Maintainer talk, project pavilion, project lightning talk","Yes, it was pretty smooth. A bit time-consuming but worth it.",Very reasonable requirements.,"Possibility for more maintainer talk sessions for project that have multiple subprojects. For example, Argo has 4 main subprojects and each of them have very significant impact and progress. We'd love to see more maintainer track sessions for these different subprojects rather than fighting for one session.",
A vendor of cloud technology,Argo,No,,Yes,"open telemetry, helm",6,,6,,8,,Strongly agree,,6,,5,,4,,N/A,,Colocated events,Already graduated,"Fine, they are helpful",I have no suggestions,
An End User company (not involved in direct monetization of CNCF projects),Konveyor,Yes,,Yes,Kubernetes,9,Cncf provides a rich environment for any cloud native project to thrive,Strongly agree,,Strongly agree,,Strongly agree,,Strongly agree,,Strongly agree,,Strongly agree,,9,,"Project services during KubeCon, offline services like website management etc",Working on getting the incubation criteria satisfied.,N/A,Blog posts for sandbox projects would be helpful,
An End User company (not involved in direct monetization of CNCF projects),KCP,Comments:,"No, but would want to.",Yes,Kubernetes mostly due them being pseudo upstream,6,You have to have clear value stream for it.,5,Would want bit more.,Strongly disagree,We really wanted project Pavilion/Booth in Paris but somehow we never got it. And half of the booth were empty most of the times.,7,,8,,3,Sadly I think no.,8,,8,,Exposure and facilitation during big events.,Dont know how.,No clear view as of yet.,More marketing/ advertisment,
A vendor of cloud technology,SlimToolkit,Yes,,No,,Strongly agree,Great community and ecosystem. Lot's of opportunities to collaborate with others (limited only by your capacity :-)),Strongly agree,,Strongly agree,I wish it was possible to have KubeCon Pavilion kiosks for more than one day for sandbox projects. One half a day slot is not enough.,Strongly agree,,9,still need to explore what's available,9,,8,"Not always valuable and, in some cases, confusing. DevStats is complicated to navigate",Strongly agree,,KubeCon project opportunities. The contribfest session is very valuable. I wish it was possible to have more Kiosk time. We had a kiosk for multiple days at KubeCon Chicago and during day 2 we got more people stopping by.,N/A. Still planning to start the incubation process. Need to change the project name first before starting the next level.,N/A,"Contribfest sessions are useful at KubeCons are nice, but you don't have a lot of time there. Local CNCF Contribfest/hackathon sessions through meetups or direct would complement the Contribfest sessions really well.",
An End User company (not involved in direct monetization of CNCF projects),Jaeger OpenTelemetry,No,,Yes,Prometheus,Strongly agree,,5,Mentorship program is very good. But support JIRA tickets with CNCF take forever to resolve.,Strongly agree,,4,"no progress on documentation related JIRA issues for a year. In contrast, very fast response from Mentorships team.",8,,7,,3,"dev stats are vanity stats, not particularly useful. The health tools were incrementally useful, but often misleading (too many false positives) and don't work too well for multi-repo projects where some repos are much more important than the others.",N/A,,GH enterprise plan,already graduated,n/a,n/a,
An End User company (not involved in direct monetization of CNCF projects),KCL,No,,Yes,"Crossplane, ArgoCD, FluxCD, Helm, Kustomize, kpt",9,,9,,9,,9,,9,,9,,Strongly agree,,8,,Support for Kubecon's attendance and marketing.,"No, we expect to apply when the project becomes more mature.","Not yet, I personally think it's reasonable.",No,
A vendor of cloud technology,OpenFGA,No,,No,,Strongly agree,-,6,For sandbox events support is limited and we don't use it much,Strongly agree,"We take advantage of KubeCon opportunities, and frequently got presentations accepted in several events.",Strongly agree,I'd,7,,7,,Strongly agree,,6,We have applied to Incubation a few months ago and haven't get any feedback.,"KubeCon project pavilion, KubeCon Lightning talks, CNCF Slack channe.","We have applied to incubation, but we did not get any feedback.","The new process seems more structured, but seems to be moving slowly.",-,
A vendor of cloud technology,Prometheus,No,,Yes,"Thanos, OpenTelemetry, OpenMetrics",7,,4,,6,"Project Pavilion is great. Maintainer track suffers from packing the project updates and the intros into the same session (both have very different target audiences, advanced users vs. beginners).",2,PromCon preparation was delayed a lot waiting for responses from CNCF staff.,6,,8,,8,,N/A,,Resources from cloud providers (for CI etc.).,n/a,n/a,I think Slack is a really really bad fit for open source projects. It's not searchable from the outside. It requires a log in to ever look at things. There is no take-out mechanism of all the data. There are no open APIs to interact with it. I wish CNCF could provide a truly open chat system (maybe Matrix based?).,
A vendor of cloud technology,Cloud Custodian,Comments:,"Sometimes, security tag",Yes,"Open telemetry, kyverno, open cost, etc",8,,6,"Not clear what marketing assistance is given outside of press release, or assistance we receive for events (we host our own project day as a virtual the last few years).",9,,5,"I had an service desk ticket on a trademark violation that was open for 4 years. On infrastructure stuff yeah its timely, but on governance/foundation stuff its not great.",7,,7,,7,,7,,CI and infrastructure support.,"The process has always been opaque, and typically changes while a project is in the middle, plus various backlogs on people tend to exacerbate time needed to transition levels.","I have to check what the current process is, i have been considering applying to graduate, so perhaps second half year survey i can provide more detailed feedback here.",Design / marketing for project home pages. Training progams. A CLA Assistant as an additional option to easycla (which isn’t despite its name easy).,
A vendor of cloud technology,Prometheus Thanos,No,,Yes,Open Telemetry,7,Sometimes it's nice to be recognized as a maintainer of a CNCF project. Other times it adds overhead.,5,Not really. While for PromCon we get some support I think the projects are pretty much on their own.,7,,5,,4,I guess existing maintainers need to properly communicate these.,6,,5,,N/A,,Having a booth an KubeCons,-,-,Pay a few maintainers to work full time on projects independent of companies.,
A vendor of cloud technology,Thanos,No,,Yes,Prometheus,Strongly agree,CNCF provides a spectacular platform for OSS projects and allows people to dedicate their time to building great tools.,8,,7,,Strongly agree,,7,,Strongly agree,,7,,N/A,,"KubeCon, and LFX Mentorships","We haven't applied yet, but are also not opposed to applying for Graduation. In my opinion Thanos is already very stable and has huge community adoption. Need to learn more about the process, and collaborate with other maintainers to actually apply.",N/A,"Maybe more marketing support to actually get the community to use some of the available tools. Also, integrating across tools and helping figure out what is possible when tools are used in tandem.",
A vendor of cloud technology,Argo Project and OpenGitOps,No,,Yes,"Kubernetes, Flux, KIND, Kustomize",Strongly agree,Vibrant community that has a lot of people contributing.,9,One wish is that it would be more cost effective for the co-located non-Kubecon events. Pricing should be more inclusive for startup (i.e. lots of smaller sponsorhsip vs a few larger),9,,Strongly agree,,Strongly agree,,6,"I would like it if the selection process was more transperent. It feels more like ""friends picking their friends"" and a little more transperency would go a long way",9,DevStats could be more robust. A little more clarity on what is being tracked and how it's weighted,N/A,,"Access to the larger CNCF/Cloudnative ecosystem. Being able to connect with other projects for various reasons (engineering colab, marketing, sustainability,etc)","Somewhat slow moving for both Argo Project and Flux. It seemed like it was being anchored so they can graduate at the same time...understandably so, but that could have been communicated better.","Requests are slow moving, which is understandable because of volunteer/bandwidth. But the fact remains that it's slow going (for both good and bad)","Engineering assistance for projects that need it. It seems that the CNCF has no real ""plan"" for projects that lose vendor sponsorship.",
A vendor of cloud technology,KEDA,No,,No,,8,,8,,Strongly agree,,4,,Strongly agree,,9,,Strongly agree,,6,,Creative services,It was super slow (9mo or longer),Reasonable,Cloud credits for Microsoft Azure,
An End User company (not involved in direct monetization of CNCF projects),OpenTelemetry,Yes,,Yes,"Cortex, Thanos, Prometheus, Jaeger, Pixie, Kubernetes",Strongly agree,CNCF platform technology projects provide choice and collaboration for end-users,6,"OpenTelemetry is the second largest project in CNCF. However it receives little support from the CNCF since it is not a graduated project. It would be good to have other criteria such as project size, contributors and diversity to encourage and help projects grow adoption. For OpenTelemetry, Education and adoption programs, guides would be very valuable.",6,"During CNCF Events such as Kubecon its very hard to get project maintainer meeting rooms, presentation space as well as swag for the community. CNCF could do more for OpenTelemetry by helping the project enable more maintainers to participate and having space to meet during each conference.",6,Figuring out what services CNCF provides via Service Desk vs. other 1:1 slack channels is tough. It would be good to have a modern system for CNCF service requests including using cloud credits for testing.,6,No - as a maintainer its very hard to find the best place to find onboarding guides and POCs for CNCF resources. Making a video to have this onboarding for maintainers would be great to have.,8,Yes I have an understanding of how to work with the TAG and TOC because I reach out to the TOC and TAG members. Otherwise I would not if I had to find CNCF onboarding guides.,5,No - the DevStats metrics are somewhat useful but mostly random metrics not related to number of downloads for OpenTelemetry artifacts or actual maintainer metrics. Would be good to have a better set of metrics which are more useful for projects.,6,Yes - it has improved with Emily Fox's leadership. But the TOC is too small to handle management of 185 plus projects in the CNCF. It should consider leveraging the TAGs and project outreach workgroups to help.,GitHub and Google docs and calendar,No - the graduation requirements have been changing and the process was very unclear in the past. OpenTelemetry has applied for graduation - hopefully the process will not be as painful as moving from sandbox to incubation where we got roasted in the TAG Observability reviews and TOC back and forth.,Still slow. But much better with Emily's leadership on keeping project boards and increasing transparency.,"It would be great if CNCF could provide the following services: 1. Project onboarding resources for end-users to use OpenTelemetry - this includes workshops to learn various components of OpenTelemetry and how to use them. Pay maintainers or other experts to build this material and make it very reasonable. This will help reduce confusion, friction in onboarding to complex projects such as OpenTelemetry and drive up adoption of the project technologies. 2. Project onboarding for engineers to become contributors to OpenTelemetry - this includes inclusion in the Zero to Merge program as well as other contributor training workshops and online training. 3. Project Swag - Provide all maintainers swag every Kubecon for their contributions (could be a t-shirt + stickers) 4. Maintainer awards - Recognize contributions of project maintainers. These awards process could be managed by each TAG across their area of focus e.g. TAG Observability could work with each project to get maintainer recommendations and run a voting process for awards and recognition.",Thank you for all your support for each project. Let's keep working together and having discussions and surveys like this more often to get feedback and help grow our project communities.
A vendor of cloud technology,Antrea,No,,Yes,"K8s, CNI",9,,Strongly agree,,Strongly agree,,Strongly agree,,Strongly agree,,8,,Strongly agree,,Strongly agree,,"CNCF mentorship program participation, Netlify web hosting, Github enterprise cloud account with a satisfactory amount of Github Action runners",We have been meaning to apply for Incubation for a while but 2 things are holding us back: lack of end-user testimonies and all maintainers are currently employed by the same company,They are fair and reasonable,N/A,N/A
An End User company (not involved in direct monetization of CNCF projects),"TUF, in-toto",Yes,,Yes,Notation,9,,9,,Strongly agree,,9,,9,,Strongly agree,,6,,3,,"marketing, slots for talks","Very, very slow. Too slow!!",Seems fine.,N/A,
A vendor of cloud technology,OpenTelemetry,No,,Yes,"Jaeger, Prometheus",Strongly agree,,Strongly agree,,Strongly agree,,Strongly agree,Except for legal questions.,Strongly agree,,Strongly agree,,Strongly agree,,Strongly agree,,Marketing and internship funding.,We just applied for graduation,Fair.,N/A,
A vendor of cloud technology,NATS,No,,No,,6,Depends how closely related the project is to K8S,N/A,(I don't see that side of things),N/A,(I don't see that side of things),9,,8,,5,,9,,N/A,,GitHub facilities,n/a (I'm not involved in those decisions),n/a (I'm not involved in those decisions),CVE Numbering Authority,
A vendor of cloud technology,Knative,No,,Yes,Kubernetes,8,,Strongly disagree,,6,,Strongly disagree,,7,,5,,5,,5,,I like the scholarships to attend conferences - but at times it isn't enough.,We applied to move levels but haven't received feedback - I believe we're in the queue for 6 months without an ETA on when it will be reviewed.,No opinion.,Lack of tech writer support/website design. I think in the past when we reached out there was a big backlog.,I though at KubeCon Amsterdam ambassadors would be assigned to help evagalize different CNCF projects. I thought Knative had one assigned (Andy?) but they never followed up.
A vendor of cloud technology,Prometheus,No,,Yes,Open Telemetry and Kubernetes,8,,8,,8,,8,,8,,7,,8,,7,,Compute credits and events support.,N/A,I'm not sure to understand exactly the impact for projects which are already graduated.,Nothing on top of my head.,
A vendor of cloud technology,Pravega,No,,No,,Strongly agree,Support and resources provided to member projects,9,,9,,8,,8,,7,,9,,N/A,,"Marketing, cloud resources",Working for the project to get to a more mature status,Fair enough,Everything seems good enough from my viewpoint,
A vendor of cloud technology,Cilium,No,,No,,8,,8,,Strongly agree,,6,,9,,9,,5,,7,,KubeCon,Took quite a bit longer than expected,Fine,Biggest thing is just faster response on tickets though it has been improving,
A vendor of cloud technology,OpenCost,No,,Yes,"Backstage, Prometheus",9,recognition and acceptance,9,,9,everyone wants more,8,,8,,8,,9,,6,Incubation has taken over a year,KubeCon kiosks & project visibility,"Yes we applied, it has not met expectations. It's taken over a year and our TOC sponsor was unresponsive for months at a time.",I think there should be re-evaluation of projects based on maintaining levels of engagement so they don't become single-vendor dominated (LinkerD),n/a,
Neither,Argo Workflows,No,,Yes,"Other Argo projects, k8s, kOps, Istio, Kubeflow (in the past 6 months IIRC). Also other LF/OpenSSF projects",8,"Lots of resources, esp dev & collab tools & credits, help desk, brand name",4,"Budget is ambiguous and rarely used, despite folks working in their free time. Paying folks for some of their work, esp those with advanced knowledge in areas the project is weaker (e.g. Security, UI, Technical Writing), I think would be good for sustainability and encouragement. Similarly soliciting more donations & contributions from end users (lots of companies, very few active contributors)",N/A,I can't speak to it,7,,6,,4,,6,,N/A,,"Tbh, we don't use them much. I suppose cloud credits & Slack.","N/A, Argo was already graduated when I became a maintainers.","So far, I think they seem fair.",Proactive security and technical writing assistance. As opposed to on request.,"Fund more contributors to work part-time or full-time, especially in areas of need for a project. Get even more tools for maintainers"
Neither,kube-rs,No,,Yes,plenty. pretty much anyone writing stuff in rust.,4,,6,"wish there were more CI things available like renovate, dedicated test clusters",3,"Personally I stopped going to KubeCon as a PR solution because the Office Hour offer felt worse than us just hosting something ad-hoc on our own. It's a bit of a shame because KubeCon is better at reaching wider audiences outside our existing clique, but it's also a lot easier to cross post to r/kubernetes.",N/A,,9,it's well documented.,7,not particularly helpful for us as we are too small of a cog in the machine.,Strongly disagree,"I find these to be largely unhelpful. Lots of metrics, but not particularly insightful. CloMontor feels unfair and pushed on us - by promoting wrong data (which we have to fix). DevStats felt borderline illegal (had to aggressively opt-out of data harvesting through PRs despite never consenting to this data harvesting).",N/A,,github actions. basically don't use anything else.,"CNCF asked if we wanted to, I said yes, but then never heard back. This was in the middle of the review process that took forever.",seems fine on paper if it's what's being followed. but also don't see much benefit for us in going up the ladder either.,1. renovatebot. 2. cncf mastodon. we should not be relying on twitter (and we have cancelled all our presence there). 3. dedicated Kubernetes test cluster access,i am happy that we generally don't need to interact much. no one is really pushing too hard for us to do things.
