Respondent ID,Collector ID,Start Date,End Date,Which CNCF project(s) are you maintaining?,Do you feel that CNCF reached out to collaborate and gather info about your project needs?,,"Do you have a good understanding of the resources and programs available to you (i.e., CNCF ServiceDesk)?10 - strongly agree, 1 - strongly disagree.",,"Did you feel that the CNCF staff responded quickly to your requests?10 - strongly agree, 1 - strongly disagree.",,"Did you feel that the CNCF TOC responded quickly to your requests?10 - strongly agree, 1 - strongly disagree.","Are your documentation needs being met (e.g., website, tech writing)?10 - strongly agree, 1 - strongly disagree.",,"Are your CI needs being met (e.g., GitHub Actions etc)?10 - strongly agree, 1 - strongly disagree.",,"Are your security needs being met (e.g., security audits)?10 - strongly agree, 1 - strongly disagree.",,"Are your non-CI tooling needs being met (e.g., bots or automation)?10 - strongly agree, 1 - strongly disagree.",,"Are your marketing needs being met (e.g., events, velocity reports)?10 - strongly agree, 1 - strongly disagree.",,"Are you satisfied with the overall support your project receives from CNCF (e.g., marketing, budget, scholarships, events etc)10 - strongly agree, 1 - strongly disagree.","Would you recommend CNCF to other open source projects, and why?10 - strongly agree, 1 - strongly disagree.",,"Do you find the CNCF DevStats tool valuable for the needs of your project?10 - highly valuable, 1 - not valuable at all.",,"Do you find the CNCF Cloud Native Landscape tool valuable for the needs of your project?10 - highly valuable, 1 - not valuable at all.",,"Do you find the CNCF End User Tech Radar tool valuable for the needs of your project?10 - highly valuable, 1 - not valuable at all.",,"What diversity efforts could CNCF help out with for your project (e.g., maintainers, mentorships, scholarships)?","What marketing efforts could CNCF help out with (e.g., project booths, webinars)?",What services do you wish the CNCF provided that it doesn't currently?*,"Any other feedback that you wish to share, from what CNCF can do more or what we should do less?"
13064372909,410425338,10/22/2021 05:56:58 AM,10/22/2021 06:51:09 AM,Inclavare Containers,"Yes, and my needs were generally met",,10,,10,,10,8,,8,,8,,8,,8,,8,10,,10,,10,,10,,"maintainers, mentorships",project booths and webinars,None,CNCF does a great job. 
13064286051,410425338,10/22/2021 05:22:29 AM,10/22/2021 05:45:35 AM,OpenKruise,"Yes, and my needs were generally met",,10,,10,,10,10,,10,,10,,9,,9,,9,10,,9,,3,Not really found OpenKruise in the Landscape.,8,,Marketing announcements for projects,webinars,Marketing announcements for projects,
13064206325,410425338,10/22/2021 04:46:18 AM,10/22/2021 04:54:39 AM,Kube-OVN,"Yes, and my needs were generally met",,9,,10,,10,5,,5,,5,,5,,10,,10,10,It offers lots help and attention,5,I haven't use it yet,10,It can attract more attention,5,I haven't use it yet,maintainers,project booths and kubecon office hours,tutorial about how to use these service,
13064187605,410425338,10/22/2021 04:35:59 AM,10/22/2021 04:42:16 AM,"Kubernetes, Falco",No,,4,,10,,1,6,,8,,10,,10,,N/A,Open source projects should never have a concept of marketing because the F in FOSS stands for free ,6,3,,4,,1,,1,,I’d double down on the Dan Kohn Diversity scholarships ,The CNCF should never offer any marketing resources under any circumstance because we aren’t selling anything and according to the IRS we should never be turning a profit.,The CNCF should offer more collaborative services that aren’t marketing focused.,"Honestly i know i am critical, but i wouldn’t change a thing. keep up the good work. i’d do this all over exactly the same in another lifetime."
13064183393,410425338,10/22/2021 04:00:12 AM,10/22/2021 04:38:09 AM,karmada,"Yes, and my needs were generally met",,8,,10,,10,9,,10,,10,,10,,10,,10,10,,10,,10,,10,,maintainers,webinars,none,none
13064133477,410425338,10/22/2021 03:59:15 AM,10/22/2021 04:10:08 AM,BFE,"Yes, and my needs were generally met",,4,,10,,10,10,,10,,10,,10,,5,,8,8,,10,,10,,6,,mentorships,"project booths, webinars",no idea,
13064123035,410425338,10/22/2021 03:42:35 AM,10/22/2021 04:05:05 AM,Longhorn,"Yes, and my needs were generally met",,6,,8,,8,8,,N/A,"For now, we are using the project built-in CI integration (drone)",N/A,Lacks some info about any security audits or other services provided.,N/A,"For now, we are using the project built-in solutions (github action or bots)",N/A,"Longhorn was a sandbox before, there is no too many marketing resources on it from CNCF. We expect more resources when it becomes an incubating project.",8,10,"CNCF is a good incubator for OSS besides promoting the project itself, also has a good environment to build up the community.",9,,9,,8,,N/A,"Conference sessions/events, booths, office hours webinars, etc.",N/A,N/A
13064123004,410425338,10/22/2021 03:55:58 AM,10/22/2021 04:04:36 AM,Karmada,"Yes, and my needs were generally met",,10,,10,,10,10,,10,,N/A,,N/A,,N/A,,10,10,,10,,10,,10,,None,webinars,Zoom Pro account.,
13063751312,410425338,10/21/2021 11:53:53 PM,10/22/2021 01:27:15 AM,"Dex, Kubernetes","Yes, and my needs were generally met",,8,,10,,10,10,,N/A,Self-maintained (I'm not sure we've engaged the Service Desk here),N/A,"I'm not sure we've engaged the Service Desk here, but this may be a future ask",N/A,"I'm not sure we've engaged the Service Desk here, but this may be a future ask",N/A,"I'm not sure we've engaged the Service Desk here, but this may be a future ask",10,10,One of the best and strongest communities in open source!,10,,10,,10,,Seeding additional maintainers,TBD,N/A,
13063743034,410425338,10/22/2021 01:11:10 AM,10/22/2021 01:23:53 AM,containerd,"Yes, but my needs were not generally met",,7,,9,,5,2,,7,,9,,4,,6,,6,5,"CNCF can help give a project visibility, but most investment into the projects come from individuals and companies. Sometimes joining CNCF can give outsiders to the project the impression that more investment is not needed, which is often the opposite of what a project needs.",3,,2,,1,,"Contributors, beginner friendly documentation","Helping publicize the success and reach of the projects, it is less awkward to come from CNCF than from project maintainers",Actually contributing technical documentation rather than just giving advice about it,"More meetups and conferences, provides great energy to community and contributors"
13063639854,410425338,10/22/2021 12:10:06 AM,10/22/2021 12:41:18 AM,Metal3.io,"Yes, and my needs were generally met",,10,,10,,9,9,,10,"Generally yes, but it would be much appreciated if CNCF could help us with obtaining subscription for Docker Hub acccount.",N/A,"We have't yet reached CNCF with any security needs. As such, NA.",10,,N/A,"We have't yet reached CNCF with any marketing needs. As such, NA. But we believe that CNCF will help us if we have a such a need in the future.",10,10,"CNCF helped with us to get quite many supportive tools in our project. And we really appreciate it. Apart from that, we have participated in a couple CNCF meetings where we received valuable feedback on our project, and that helped us to improve some parts. Furthermore, CNCF gave some visibility to the project in the Kubernetes landscape, which brought us some contributors  As such, thank you very much for all the folks behind CNCF.",9,"I think it is good tool to understand how project is progressing over time, how diverse is the community, how the process of a patch review (in terms of time) has improved or got worse, and many more metrics which would not be normally visible. ",9,I think it is especially good for end user to get some references for a particular project and see the high-level picture of where the project fits.,1,I'm adding 1 because we haven't used it before and should familiarize ourselves.,"We have quite heavy CI infrastructure which creates Virtual machines for almost every single pull request across several GitHub projects of Metal3.io. We have once checked with CNCF if some computing resources could be provided, but they were mostly baremetal servers from Equinix. If possible, it would be greatly appreciated if there are some cloud resources that could be offered by CNCF where we can run our CI infra.",I think it would be good to host some webinars as we had once in the past.,At our current stage (Sandbox) we are satisfied with what's currently offered.,"No, thank you."
13063590167,410425338,10/22/2021 12:14:24 AM,10/22/2021 12:19:19 AM,Antrea (https://github.com/antrea-io),"Yes, and my needs were generally met",,8,,8,,8,7,,6,,10,,7,,5,,7,7,,7,,6,,5,,More contributors,"Booths, webinars, advertisement",No specific ones in mind.,
13063543041,410425338,10/21/2021 09:43:32 PM,10/22/2021 12:00:20 AM,KubeDL,"Yes, and my needs were generally met",,10,,10,,10,10,,10,,N/A,,N/A,,N/A,,10,10,,10,,10,,10,,na,a channel for submitting/distributing blog posts,na,
13063361384,410425338,10/21/2021 10:47:28 PM,10/21/2021 10:53:07 PM,Athenz,"Yes, and my needs were generally met",,9,"we haven't started utilizing the resources available yet, but planning to do so soon.",10,,10,8,,10,,8,we will be requesting a security audit soon and then I will have a better idea on security,N/A,dont have much need for non-ci tooling just yet,10,,8,10,,10,,10,,10,,we could use CNCF's help / ideas / suggestions to get more visibility for the project,We are lagging behind on those efforts from the project side. Once we have some ideas we will definitely reach out to CNCF,Not that I can think of.,
13063248088,410425338,10/21/2021 10:05:45 PM,10/21/2021 10:11:43 PM,Kuberhealthy,"Yes, and my needs were generally met",,9,,10,,9,9,,9,,9,,10,,9,,10,10,"Amazing organization with dedicated people looking to support open source software. Without the CNCF, open source would have far less support and advocacy and the world would be a worse place for it. ",10,,8,,9,,Nothing needed here. ,Nothing at the moment,Nothing comes to mind,
13063222398,410425338,10/21/2021 09:59:43 PM,10/21/2021 10:03:34 PM,Backstage,"Yes, and my needs were generally met",,8,,8,,6,8,,10,,8,,10,,8,,8,9,,9,,9,,7,,None I can think of really ,Booths and more talks accepted at kubecon would be great. We’ve had a lot of talks declined even with end users with no feedback on why,Sponsoring other conferences and helping out getting us places in expo halls and talks ,Keep up the good work!
13063191748,410425338,10/21/2021 09:41:43 PM,10/21/2021 09:55:11 PM,Antrea,"Yes, and my needs were generally met",,10,,10,,10,N/A,Not a resource we have leveraged,N/A,Not a resource we have leveraged yet,N/A,Not a resource we have leveraged,8,"The CNCF started helping us lift the rate limiting restrictions for our Dockerhub repositories. Docker confirmed that they were handling it, but to this day the rate limiting is still enforced. I was then told to open a ticket directly with Docker support (weeks ago), and I still haven't heard back... I am aware that this is not something I can really blame the CNCF for, it seems to be mostly a Docker issue.",10,,10,10,Public exposure mostly. The feeling to belong to an ecosystem.  We were also very happy with how the virtual project office hours at Kubecon NA turned out.,9,,8,,10,"Not something I have really looked into so far, but it looks useful.","maintainers, it's a bit uniform right now",nothing special at the moment,better communication with Docker to lift Dockerhub rate limiting restrictions; OR a convincing alternative for hosting Docker images,
13063189401,410425338,10/21/2021 09:40:12 PM,10/21/2021 09:50:55 PM,Argo CD,"Yes, and my needs were generally met",,6,,9,,5,N/A,,N/A,,5,,N/A,,N/A,,8,5,,8,,5,,5,,n/a,n/a,n/a,
13063186470,410425338,10/21/2021 09:44:04 PM,10/21/2021 09:49:53 PM,OPENYURT,"Yes, and my needs were generally met",,6,,8,,5,8,,6,,6,,6,,8,,6,6,,8,,6,,6,,scholarship,webinars,N/A,N/A
13063180259,410425338,10/21/2021 09:40:41 PM,10/21/2021 09:47:42 PM,"Krator, Krustlet","Yes, and my needs were generally met",,8,,10,,10,9,,10,,N/A,,10,,9,,10,10,"Really smooth onboarding experience, great community. ",8,,9,,6,I'm not really familiar with this tool,Not sure,Support talks at non-CNCF conferences,Help understanding the full CNCF org for new maintainers,Thanks for all of your collective hard work!
13063175826,410425338,10/21/2021 09:41:26 PM,10/21/2021 09:46:06 PM,Longhorn,"Yes, and my needs were generally met",,10,,10,,7,9,,N/A,,N/A,,N/A,,8,,9,10,CNCF has provided great support to the project. I am very glad we're a part of CNCF.,8,,8,,7,,n/a,Project booth is a good idea though during KubeCon NA 2021 there are only a handful of attendees visited our booth. It might due to the low attendee rate anyway. We'd like to try again next year.,N/A,
13063174875,410425338,10/21/2021 09:41:07 PM,10/21/2021 09:45:46 PM,KEDA,"Yes, and my needs were generally met",,8,,10,,8,8,Believe we had flagged we needed some formatting help as our site has scaled and hasn't been acted on - but the rest has been great,9,great to see we can spin up CI/CD resources on Equinox,10,,9,,8,"I think this was maintainers missing the comms, but would have loved to participate more in cncf events like kubecon",10,10,"Great community, good support. We've gotten a ton of benefits since donating to CNCF  ",9,Useful to see growth and something we keep an eye on to build community,4,"Most of the time when I see people reference the Landscape pic is to call out ""look how complex kubernetes is""",7,,Maintainers is biggest area we could use more support (getting maintainer help or helping source potential maintainers),"Booth presence or area for KubeCon, webinar would be great too  ",Maintainer sourcing assistance,Appreciate everything
13063170838,410425338,10/21/2021 09:42:23 PM,10/21/2021 09:44:19 PM,Kuma,"Yes, and my needs were generally met",,7,,10,,8,1,,7,,10,,10,,5,,8,8,Good home for OSS.,6,,8,,8,,None,"Webinars, retweets, blog posts, etc",Documentation help,None
13063166775,410425338,10/21/2021 09:40:42 PM,10/21/2021 09:42:52 PM,Pixie,"Yes, and my needs were generally met",,10,,10,,8,9,,7,,7,,8,,9,,8,10,,10,,10,,10,,We'd love to get scholarships for contributors.,Project Booth at Kubecon was great!,Cloud computing resource (or make them easier to access),
13061772191,410425338,10/21/2021 01:55:01 PM,10/21/2021 01:58:46 PM,Tremor,"Yes, and my needs were generally met",,9,,10,,10,10,,N/A,,N/A,,N/A,,6,,10,10,It is a incredibly helpful and welcoming community for open source projects,6,I admit I don't often look at it,5,It is a bit crowded,8,,the CNCF already does a  good job with this,It was sad that there was no virtual booths for KubeCon,-,
13060216013,410425338,10/20/2021 10:48:56 PM,10/20/2021 11:21:27 PM,Meshery,"Yes, and my needs were generally met",,8,,N/A,Quite new - no requests so far.,5,N/A,Quite new - still exploring.,N/A,Quite new - not sure whether there were any needs.,N/A,Quite new - not sure whether there were any needs.,N/A,Quite new - not sure whether there were any needs.,8,Quite new - not sure whether there were any needs.,7,9,,8,"Interesting to see how our project is related to other projects in the same area, but also in general.",9,Makes it easy to navigate the huge landscape and find relevant related projects.,8,Helps deciding on which product to choose.,"Especially encouraging members of underrepresented groups to apply and join. Not sure how much is done now, and how that could best be done in practice. ",Quite new - still exploring and have not missed anything so far.,Quite new - still exploring and have not missed anything so far.,Not quite sure whether it is described somewhere what CNCF is _not_ intended to provide and do? 
13059082381,410425338,10/20/2021 03:09:37 PM,10/20/2021 05:09:24 PM,"Prometheus, OpenMetrics, OpenTelemetry","Yes, and my needs were generally met",,8,,8,,6,4,,7,,8,,8,,3,"One thing which is improving but not great is access to analysts, journalists, etc for graduated projects. Projects benefit from wider reach, outlets benefit by gaining more insights into why CNCF projects are industry-leading.",7,7,,6,,1,"Too busy, too messy, search and filtering not powerful enough.",7,,Maybe a way to give 101 talks at community colleges and such to get people interested?,"As per above: The thing I think we're not leveraging enough is the possibility to connect industry analysts, journalists, and thought leaders in adjacent industries with the people driving the (graduated) projects forward.",Press desk for graduated projects,"Rock on, and hopefully see you in person in Valencia"
13058535488,410425338,10/20/2021 01:19:32 PM,10/20/2021 01:25:06 PM,Vitess,"Yes, and my needs were generally met",,2,"(In y'alls defense, I haven't really spent any time looking, so this is much more my fault than yours)",N/A,,5,N/A,"I think we manage this ourselves, and it's ... fine? I think?",7,,4,,8,,8,,8,5,,3,"I'm not sure what ""hourly activity"" is beneficial for as a maintainer (tbf this is my first time ever looking at this), and I don't see any other metrics for my project.",2,"Incredibly overwhelming, I'm not really sure what to do with this",2,I'm not evaluating as an end-user,Unsure,Project booths,Unsure,Nope!
13058272739,410425338,10/20/2021 10:42:57 AM,10/20/2021 10:49:20 AM,rook,"Yes, and my needs were generally met",,N/A,,10,,10,N/A,,10,,10,,6,Rook has a Slack channel and we would appreciate if CNCF could support a better plan to have more discussion history.,10,,10,10,"Good support, tools and staff.",5,Never really used it.,5,Never really used it.,5,Never really used it.,N/A,N/A,N/A,N/A
13058239036,410425338,10/20/2021 10:22:06 AM,10/20/2021 10:27:47 AM,"CRI-O, Kubernetes","Yes, and my needs were generally met",,8,,10,,10,9,,8,,5,We requested a CRI-O security audit long time ago but I'm not sure what the current state is.,8,,8,,8,9,,5,,5,,5,,"Maintainers would be great, we're actively working on it to get them.","The project booth was great at KubeCon, I'd like to keep that.",AWS and Google Cloud Kubernetes managed services.,
13058147337,410425338,10/20/2021 09:21:07 AM,10/20/2021 09:24:51 AM,Strimzi,"Yes, and my needs were generally met",,7,,10,,7,7,,10,,7,,7,,7,,8,8,,8,,8,,7,,maintainers,webinars,N/A,
13057954704,410425338,10/20/2021 02:40:34 AM,10/20/2021 07:01:14 AM,Service Mesh Performance,Other (please specify),No idea if CNCF reached out,2,,5,Never reached out to the CNCF staff,3,5,,5,,5,,5,,5,,2,9,Breadth of projects and toolsets,1,Have never heard of it and havent see its use yet,8,Helpful to get unified view,7,,"Since SMP is new, spreading out the word and helping find ways to engage community is helpful","newsletter or project booths or webinars, etc",help spread the word about services available,Have no idea about lot of things that CNCF does until the survey. would help to spread the info to developers
13057319067,410425338,10/20/2021 01:30:59 AM,10/20/2021 01:35:20 AM,"SPIFFE, SPIRE","Yes, and my needs were generally met",,9,,8,,8,5,,10,,10,,9,,7,,7,9,,6,,4,,4,,"Contributors, maintainers, non-code contribution","webinars, social media, blog post and press release",a system for collecting usage statistics from project deployments,
13057064058,410425338,10/19/2021 11:47:33 PM,10/19/2021 11:50:48 PM,Buildpacks,"Yes, and my needs were generally met",,7,,8,,7,5,,9,,8,,9,,6,,7,8,,10,,9,,8,,maintainers and Google summer of docs ,"webinars, podcasts, how to effectively market the project ","interactive sandbox tools, better documentation guidelines, automated doc testing ",
13056906195,410425338,10/19/2021 10:42:12 PM,10/19/2021 10:50:14 PM,Rook,"Yes, and my needs were generally met",,9,,10,,10,N/A,,10,,10,,10,,10,,10,10,Great community support!,6,Haven't looked much at it,5,"Haven't really looked, but it's very busy.",3,Haven't seen it previously,Always happy to welcome more contributors,"In-person kubecon, much more useful than virtual",In-person conferences,
13056687434,410425338,10/19/2021 09:21:39 PM,10/19/2021 09:30:48 PM,k3s,"Yes, and my needs were generally met",,7,"I think there are probably resources I am missing. Though, I do use CNCF ServiceDesk",10,,10,N/A,I haven't really asked for this. ,9,,N/A,Haven't done much with the CNCF in this area yet,8,I didn't know CNCF offer bot/automation tooling. Will take a look,N/A,,10,10,Its a great organization and a way to get your project out to more people.,9,"Takes a bit to fully grok and understand, but its definitely useful. Kudos to the maintainer of it who responded quickly to my github issues that I put in.",5,It's incredibly overwhelming.,7,Didnt really know this existed.,"It would be good to have some help to find other maintainers, though this is challenging for multiple reasons. Our project needs to improve its dev onboarding process.","I would definitely like to get us a project booth at the next kubecon, but that's on us to initiate.",Not sure,
13056669355,410425338,10/19/2021 09:19:49 PM,10/19/2021 09:24:10 PM,NATS,No,,8,,8,,5,8,,8,,7,,N/A,,6,,5,6,,5,,3,,3,,"maintainers, ambassadors","end user case studies, project progress blogs",n/a,
13046588099,410425338,10/15/2021 07:26:16 AM,10/15/2021 07:30:13 AM,Buildpacks,"Yes, and my needs were generally met",,7,,8,,7,2,Our docs and specification can really use a tech writer to clarify and simplify,10,,9,,8,,8,,10,10,,9,,1,Way too busy to provide value,8,,Scholarships for students,Those sound great!,N/a,
13042163519,410425338,10/13/2021 09:38:08 PM,10/13/2021 09:58:05 PM,Flux,"Yes, and my needs were generally met",,8,,9,,9,N/A,we should use these services more! <3,9,,10,,9,,9,,9,10,,7,sometimes find it a bit hard to find interesting stats... how much have contributions grown? where are my contributors from? what happened in the last half year?,7,a bit crowded... 😬,8,,quite happy,quite happy,not sure,"One thing I shared already was that some of the communications between CNCF and maintainers - especially around KubeCon times - was very condensed and with CFPs and KubeCon preps it feels like there is always some ping for some conference at all times.    I'm sharing it as I've heard it from co-maintainers who work as engineers on Flux. I, as a comms person of the project, can deal with the amount of communications a lot better.    We as the Flux project should potentially get more folks involved in groups like e.g. the maintainers circle to learn more from others and use CNCF resources more efficiently and collaborate across projects a bit more. That'd be more on us than on the CNCF."
13035751209,410425338,10/11/2021 07:44:18 PM,10/11/2021 07:46:50 PM,"Harbor, Contour","Yes, and my needs were generally met",,10,,10,,10,10,,10,,N/A,,N/A,,5,,10,10,,10,,10,,10,,maintainers,sponsoring local conferences,none,
13030548705,410425338,10/08/2021 08:37:39 PM,10/08/2021 08:40:24 PM,Fluentd,"Yes, and my needs were generally met",,10,,10,,8,N/A,,10,,10,,N/A,,10,,9,10,,9,,8,,6,,maintainers,All of them :) ,N/A,
13029881162,410425338,10/08/2021 04:18:48 PM,10/08/2021 04:25:15 PM,Porter,"Yes, and my needs were generally met",,9,,10,,10,7,,10,,N/A,,N/A,,N/A,,10,10,They give you guidance and cover for your project without taking over in any way. It's just solid support.,5,We are too small for the stats to be meaningful to us.,9,"It's a nice way for people to see our project name, since we aren't well known",1,We are too small for it to be relevant to us,What you are already doing is good.,We are a sandbox project so I don't think that we get marketing? I'm always unsure about the benefits of sandbox vs incubating/graduated.    I appreciate it when the CNCF twitter account retweets our posts!,The new CI credits proposal would be incredibly useful to us. Not sure if we (sandbox) can take advantage of it though.,Every CNCF staff person I work with is great and super helpful.
13029758598,410425338,10/08/2021 03:07:44 PM,10/08/2021 03:37:22 PM,"Meshery, Service Mesh Performance","Yes, and my needs were generally met",,8,,10,,8,5,,9,,9,,9,,8,,7,10,,7,,10,,7,,Support maintainers from minority backgrounds.,Webinars and livestreams,Current services are great.,
13029397331,410425338,10/08/2021 12:29:22 PM,10/08/2021 12:33:27 PM,KubeVela,"Yes, and my needs were generally met",,8,,9,,7,7,,8,,7,,7,,6,,7,9,,9,,9,,1,,mentorships,I didn't see any marketing efforts there.,The gap to be a mature project.,Node.
13029091949,410425338,10/08/2021 09:21:56 AM,10/08/2021 09:26:32 AM,Keptn,"Yes, and my needs were generally met",,8,,10,,5,7,,N/A,,6,,8,,4,,8,10,,8,,9,,9,,help with getting maintainers from different regions,webinars or featured blogs on the cncf blog,currently our needs are satisfied,
13028795187,410425338,10/08/2021 04:58:53 AM,10/08/2021 05:37:30 AM,Vineyard,"Yes, and my needs were generally met",,9,,10,,9,9,,10,,8,,10,,10,,10,8,CNCF provides excellent resources and support for projects that aimed at enriching the could-native ecoshystem.,10,CNCF devstats is value valuable for us to see the development status and progress of our project vineyard.,9,,8,,mentorships,project booths,None.,
13028675386,410425338,10/08/2021 04:18:34 AM,10/08/2021 04:20:35 AM,oam-devkubevela,"Yes, and my needs were generally met",,10,,9,,10,10,,10,,10,,10,,10,,10,10,,10,,10,,10,,maintainers,webinars,nil,
13028498179,410425338,10/08/2021 02:45:52 AM,10/08/2021 02:50:53 AM,Serverless Workflow,No,,5,,6,,1,1,,10,,2,,3,,1,,1,5,,1,,8,,5,,mentorship,webinars and blogs,toc to care about projects at least a bit,toc has ignored our project . i wish they could sometimes reach out to see how projects are doing
13027961932,410425338,10/07/2021 10:59:12 PM,10/07/2021 11:05:16 PM,etcd,"Yes, and my needs were generally met",,10,,10,,10,10,,10,,10,,N/A,,10,,10,10,"In my past few years of working on CNCF project, K8s and etcd mainly, I have seen CNCF eagerly supporting the need of hosted projects e.g. finance for the security analysis of the project, quick response to the open tickets etc.",8,,8,,8,,"For now, CNCF is taking care of everything that we have asked including a paid intern this Fall for etcd.io",We are good with current support.,None right now.,"I have great experience working with CNCF staff e.g. Chris Aniszczyk, Ihor dvoretskyi to name few. "
13027949050,410425338,10/07/2021 10:56:21 PM,10/07/2021 11:00:45 PM,WasmEdge Runtime,"Yes, and my needs were generally met",,9,,10,,9,N/A,,9,,N/A,,N/A,,9,,10,10,,10,,10,,10,,None,Project booth and conference participation.,N/A,Would love to see more developer relation efforts
