What is your geographic location?,What is the size of your company/organization?,What is your job function? Please select all that apply.,,What industry does your company/organization belong to?,,Which of the following cloud or data center models does your company/organization use?,,"Which, if any, of the following projects do you use for observability?",,,,,,,,,,,,"What practical, technical, or cultural challenges have you experienced or do you foresee using these projects - please select all that apply:",,,,,,,,,"Observability is a broad field. How many different tools does your organization use for monitoring, gathering logging and tracing data, and for metrics?",,What is your greatest challenge in observability - select all that apply:,,,,,,,,,,"What, if any, concerns do you have about making greater use of cloud native observability projects or products? Please select all that apply from the following list:",,,,,,,,,,,,,How do you run your observability tools - select all that apply. (Providing tools as-a-service internally still counts as self-managed):,,,,,,,,"Which of the following matter most for observability in your daily operations - please rank each in order from 1 - 9, with 1 being most important:",,,,,,,,,,,"Rank the following in order of importance when selecting observability tools from 1 to 6, with 1 being the most important:",,,,,,,What are your top priorities or projects in observability for the next year - select all that apply:,,,,,,,,,,"The CNCF Technical Advisory Group (TAG) Observability provides a number of resources which include the Cloud Native Observability whitepaper and online sessions. What would you like the TAG to provide you with most to monitor, audit, and instrument your cloud native and legacy infrastructure?To get involved with TAG Observability, join the TAG meetings @ 1600 UTC, 1st and 3rd Tuesdays of each month; join the mailing List: cncf-tag-observability@lists.cncf.io; or chat on CNCF Slack #tag-observability.",,,,
Response,Response,Response,Other (please specify),Response,Other (please specify),Response,Other (please specify),None of the above,Cortex,OpenMetrics,Prometheus,Thanos,Fluentd,Jaeger,OpenTelemetry,OpenTracing,Chaos Mesh,Litmus,Other (please specify),Difficult to install,Lack of supporting documentation,Too complex to understand or run,Doesn’t work well with my existing deployment tools or infrastructure,Code bugs,Security vulnerabilities,Management discourages use of/doesn’t see value of open source,Concern open source projects could be abandoned or become inactive,Other (please specify),Response,More than 20 (please specify),None of the above,Lack of resources,Shortage of skills,Lack of understanding of the benefits,No strategy,Engineers and teams using multiple tools,Organization - presence of process and team silos,Lack of leadership from management,Complexity,Other (please specify),None - I don't have any concerns,Security,Hidden costs,Integration,Ease of management,"Maturity of code, features, and project",Level of support and long-term future,"Mastering new technologies, architectures, and concepts - such as elasticity or micro-services",Ability to evaluate competing or complementary projects/products on a like-for-like basis,Mapping and understanding dependencies and integrations,Optimizing them,Lack of resources/expertise,Other (please specify),None of the above,As-a-Service on public cloud,As-a-Service on private cloud,As-a-Service on-prem,Self-managed on public cloud,Self-managed in private cloud,Self-managed on-prem,Other (please specify),Metrics,Logs,Traces,Profiles,Crash dumps,Events,Monitoring,Alerts,Diagnostics,Analytics,Other (please specify),Cost,Open source,Breadth and maturity of features,Complexity of deployment and use,Integration with existing tools/stack,Option to purchase commercial support,Other (please specify),None of the above,Develop a strategy,Secure budget and resources,Adopt tools to collect application and network telemetry data,"Establish a centralized system to capture, analyze and monitor data","Provide engineers with tools and data to identify, preempt, respond to and triage issues","Establish a single, unified view of the technology stack/platform",Develop best practices,Link IT performance issues with business outcomes,Other (please specify),I haven’t heard of the CNCF TAG Observability or its work,Reference architectures and frameworks would be ideal,Tools and projects that fill gaps in the observability space would be better,A series of hosted talks would have the most impact,Other (please specify)
Asia,50-99,Back-end Developer,,Consulting,,Only Public Cloud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North America,"More than 5,000",Engineering Manager,,Software / Technology,,Hybrid Cloud (i.e. both),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Europe,500-999,DevOps Management,,Financial Services,,Hybrid Cloud (i.e. both),,,,,Prometheus,,,Jaeger,OpenTelemetry,,,,,,,,,,,,Concern open source projects could be abandoned or become inactive,,1-9,,,Lack of resources,Shortage of skills,,,Engineers and teams using multiple tools,,,,,,,,,,,,,,,,Lack of resources/expertise,,,,,As-a-Service on-prem,,,Self-managed on-prem,,1,1,1,4,6,3,2,1,5,6,,3,1,2,2,1,2,,,,,Adopt tools to collect application and network telemetry data,,"Provide engineers with tools and data to identify, preempt, respond to and triage issues",,,,,I haven’t heard of the CNCF TAG Observability or its work,,,,
Asia,"More than 5,000",Sales,,Professional Services,,Hybrid Cloud (i.e. both),,,,,Prometheus,,,,OpenTelemetry,,,,,Difficult to install,Lack of supporting documentation,,,,,,Concern open source projects could be abandoned or become inactive,,10-15,,,,Shortage of skills,,,Engineers and teams using multiple tools,Organization - presence of process and team silos,,,,,,,Integration,,,,"Mastering new technologies, architectures, and concepts - such as elasticity or micro-services",,Mapping and understanding dependencies and integrations,,,,,As-a-Service on public cloud,,,,,,,7,8,8,5,8,9,9,9,9,9,,1,4,1,2,2,2,,,,,,"Establish a centralized system to capture, analyze and monitor data",,"Establish a single, unified view of the technology stack/platform",,Link IT performance issues with business outcomes,,I haven’t heard of the CNCF TAG Observability or its work,Reference architectures and frameworks would be ideal,,,
North America,"1,000-4,999",SRE / DevOps Engineer,,Financial Services,,Only Private Cloud / On Premise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Europe,"More than 5,000",SRE / DevOps Engineer,,Financial Services,,Hybrid Cloud (i.e. both),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North America,100-499,Engineering Manager,,Software / Technology,,Hybrid Cloud (i.e. both),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Europe,"1,000-4,999",Engineering Manager,,Financial Services,,Hybrid Cloud (i.e. both),,,,OpenMetrics,Prometheus,,,,,,,,,,,Too complex to understand or run,,,,,,,1-9,,,,Shortage of skills,Lack of understanding of the benefits,,,,,,,None - I don't have any concerns,,,,,,,,,,,,,,,,,Self-managed on public cloud,,,,1,1,3,5,5,1,1,1,4,4,,1,1,1,2,2,4,,,,,,,"Provide engineers with tools and data to identify, preempt, respond to and triage issues","Establish a single, unified view of the technology stack/platform",Develop best practices,,,I haven’t heard of the CNCF TAG Observability or its work,Reference architectures and frameworks would be ideal,,,
North America,10-49,Back-end Developer,,Software / Technology,,Only Public Cloud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Europe,"1,000-4,999",SRE / DevOps Engineer,,Telecommunications,,Hybrid Cloud (i.e. both),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North America,"More than 5,000",DevOps Management,,Government,,Only Public Cloud,,,,,Prometheus,,Fluentd,,,,,,,Difficult to install,Lack of supporting documentation,,,,,,,,1-9,,,,Shortage of skills,,,,,,Complexity,,,,,,,,,"Mastering new technologies, architectures, and concepts - such as elasticity or micro-services",Ability to evaluate competing or complementary projects/products on a like-for-like basis,,,Lack of resources/expertise,,,As-a-Service on public cloud,,,Self-managed on public cloud,,,,4,8,5,4,4,4,9,9,4,4,,6,6,6,6,6,5,,,,,,"Establish a centralized system to capture, analyze and monitor data",,"Establish a single, unified view of the technology stack/platform",Develop best practices,,,I haven’t heard of the CNCF TAG Observability or its work,,,,
Europe,"1,000-4,999",SRE / DevOps Engineer,,Software / Technology,,Only Public Cloud,,,,OpenMetrics,Prometheus,Thanos,Fluentd,,OpenTelemetry,,,,,Difficult to install,,Too complex to understand or run,,,,,,,1-9,,,Lack of resources,Shortage of skills,,,,,Lack of leadership from management,,,,,Hidden costs,,,,,"Mastering new technologies, architectures, and concepts - such as elasticity or micro-services",,,,,,,,,,Self-managed on public cloud,,,,9,9,5,4,3,2,3,9,7,4,,,5,4,5,3,2,,,Develop a strategy,,,,,,,,,,Reference architectures and frameworks would be ideal,,A series of hosted talks would have the most impact,
Asia,10-49,DevOps Management,,Consulting,,Hybrid Cloud (i.e. both),,,,,Prometheus,,Fluentd,,OpenTelemetry,,,,,,Lack of supporting documentation,,,,Security vulnerabilities,,Concern open source projects could be abandoned or become inactive,,1-9,,,,,,,Engineers and teams using multiple tools,Organization - presence of process and team silos,,,,,,,,,"Maturity of code, features, and project",Level of support and long-term future,"Mastering new technologies, architectures, and concepts - such as elasticity or micro-services",,,Optimizing them,,,,,,,Self-managed on public cloud,,,,1,1,1,,,,1,1,,,,2,1,,1,,,,,Develop a strategy,,,,"Provide engineers with tools and data to identify, preempt, respond to and triage issues",,Develop best practices,,,,Reference architectures and frameworks would be ideal,,,
North America,50-99,Other (please specify),Head of Software Reliability Engineering,Healthcare,,Only Public Cloud,,,,,Prometheus,,,,,,,,,,,,,,,,,Datadog (used for APM and Logs) vs other systems,1-9,,,,,,,Engineers and teams using multiple tools,,,Complexity,,,,Hidden costs,,,,,,Ability to evaluate competing or complementary projects/products on a like-for-like basis,Mapping and understanding dependencies and integrations,,,,,As-a-Service on public cloud,,,,,,,3,2,6,4,5,,1,7,8,9,,5,4,3,2,1,6,,,Develop a strategy,,Adopt tools to collect application and network telemetry data,"Establish a centralized system to capture, analyze and monitor data","Provide engineers with tools and data to identify, preempt, respond to and triage issues","Establish a single, unified view of the technology stack/platform",Develop best practices,Link IT performance issues with business outcomes,,,Reference architectures and frameworks would be ideal,Tools and projects that fill gaps in the observability space would be better,,
Europe,Less than 10,SRE / DevOps Engineer,,Consulting,,None of the above,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Europe,"More than 5,000",SRE / DevOps Engineer,,Retail,,Only Private Cloud / On Premise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North America,"More than 5,000",Software Architect,,Other (please specify),"Human resources, Health and Wellbeing",Hybrid Cloud (i.e. both),,,,,,,,,OpenTelemetry,,,,,,,,Doesn’t work well with my existing deployment tools or infrastructure,,,,,,None - I don't use any,,,Lack of resources,Shortage of skills,,,,Organization - presence of process and team silos,,,,,Security,Hidden costs,Integration,Ease of management,,,"Mastering new technologies, architectures, and concepts - such as elasticity or micro-services",,,,Lack of resources/expertise,,,,,,,,Self-managed on-prem,,9,9,9,8,8,8,9,9,9,9,,6,6,6,6,6,6,,,Develop a strategy,Secure budget and resources,Adopt tools to collect application and network telemetry data,"Establish a centralized system to capture, analyze and monitor data","Provide engineers with tools and data to identify, preempt, respond to and triage issues","Establish a single, unified view of the technology stack/platform",Develop best practices,Link IT performance issues with business outcomes,,I haven’t heard of the CNCF TAG Observability or its work,Reference architectures and frameworks would be ideal,Tools and projects that fill gaps in the observability space would be better,,
Asia,"More than 5,000",Software Architect,,Financial Services,,Hybrid Cloud (i.e. both),,None of the above,,,,,,,,,,,,,,Too complex to understand or run,Doesn’t work well with my existing deployment tools or infrastructure,,,,,,10-15,,,Lack of resources,Shortage of skills,Lack of understanding of the benefits,No strategy,Engineers and teams using multiple tools,Organization - presence of process and team silos,,Complexity,,,,,Integration,,,Level of support and long-term future,"Mastering new technologies, architectures, and concepts - such as elasticity or micro-services",Ability to evaluate competing or complementary projects/products on a like-for-like basis,Mapping and understanding dependencies and integrations,,Lack of resources/expertise,,,As-a-Service on public cloud,,As-a-Service on-prem,,,Self-managed on-prem,,1,1,1,3,1,1,1,1,1,1,,1,3,1,1,1,3,,,Develop a strategy,Secure budget and resources,Adopt tools to collect application and network telemetry data,"Establish a centralized system to capture, analyze and monitor data","Provide engineers with tools and data to identify, preempt, respond to and triage issues","Establish a single, unified view of the technology stack/platform",Develop best practices,,,,Reference architectures and frameworks would be ideal,Tools and projects that fill gaps in the observability space would be better,A series of hosted talks would have the most impact,
Europe,"1,000-4,999",Software Architect,,Software / Technology,,Only Public Cloud,,,,,Prometheus,Thanos,,Jaeger,OpenTelemetry,,,,,,,Too complex to understand or run,,,,,,,1-9,,,Lack of resources,Shortage of skills,,No strategy,,,,Complexity,,None - I don't have any concerns,,,,,,,,,,,,,,,,,Self-managed on public cloud,,,,3,2,4,7,8,6,1,5,9,9,,1,1,2,3,4,6,,,,,,,,"Establish a single, unified view of the technology stack/platform",Develop best practices,,,,Reference architectures and frameworks would be ideal,,,
Europe,500-999,Software Architect,,Software / Technology,,Hybrid Cloud (i.e. both),,,,,Prometheus,,Fluentd,,OpenTelemetry,,,,,,Lack of supporting documentation,,,,,,Concern open source projects could be abandoned or become inactive,Commercial vendors not really adopting opensource standards,1-9,,,,,,No strategy,,Organization - presence of process and team silos,Lack of leadership from management,,,,,,Integration,,,Level of support and long-term future,,,,,,,,As-a-Service on public cloud,,,,Self-managed in private cloud,,,3,1,4,7,5,2,2,1,4,4,,3,5,2,1,1,2,,,Develop a strategy,Secure budget and resources,,"Establish a centralized system to capture, analyze and monitor data",,,Develop best practices,,,I haven’t heard of the CNCF TAG Observability or its work,,,,
Europe,"More than 5,000",Back-end Developer,,"Arts, Entertainment",,Hybrid Cloud (i.e. both),,,Cortex,OpenMetrics,Prometheus,,Fluentd,Jaeger,OpenTelemetry,,,,,,,Too complex to understand or run,,,,,,,10-15,,,,,Lack of understanding of the benefits,No strategy,Engineers and teams using multiple tools,Organization - presence of process and team silos,,Complexity,,,,,,,,,"Mastering new technologies, architectures, and concepts - such as elasticity or micro-services",,,,,,,As-a-Service on public cloud,As-a-Service on private cloud,As-a-Service on-prem,Self-managed on public cloud,Self-managed in private cloud,Self-managed on-prem,,2,1,5,6,7,6,3,4,8,9,,6,4,1,3,2,5,,,,,,"Establish a centralized system to capture, analyze and monitor data","Provide engineers with tools and data to identify, preempt, respond to and triage issues","Establish a single, unified view of the technology stack/platform",Develop best practices,,,I haven’t heard of the CNCF TAG Observability or its work,,Tools and projects that fill gaps in the observability space would be better,A series of hosted talks would have the most impact,
Europe,100-499,SRE / DevOps Engineer,,Software / Technology,,Only Private Cloud / On Premise,,,,,Prometheus,,,,,,,,Loki,,,,,Code bugs,,,,,1-9,,,,,Lack of understanding of the benefits,No strategy,,Organization - presence of process and team silos,Lack of leadership from management,,,,,,Integration,,"Maturity of code, features, and project",,,,Mapping and understanding dependencies and integrations,,,,,As-a-Service on public cloud,,,Self-managed on public cloud,,,,7,8,7,7,7,8,9,9,8,7,,4,1,5,2,6,3,,,,,Adopt tools to collect application and network telemetry data,,"Provide engineers with tools and data to identify, preempt, respond to and triage issues",,,,,I haven’t heard of the CNCF TAG Observability or its work,,Tools and projects that fill gaps in the observability space would be better,,
North America,10-49,DevOps Management,,Professional Services,,Only Public Cloud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asia,500-999,Full-Stack Developer,,Education,,Hybrid Cloud (i.e. both),,None of the above,,,,,,,,,,,,,,,,Code bugs,Security vulnerabilities,Management discourages use of/doesn’t see value of open source,Concern open source projects could be abandoned or become inactive,,16-20,,,,,,,Engineers and teams using multiple tools,Organization - presence of process and team silos,,,,,,,,Ease of management,"Maturity of code, features, and project",Level of support and long-term future,,,,,,,,,,As-a-Service on-prem,Self-managed on public cloud,Self-managed in private cloud,,,5,7,7,8,7,6,9,9,8,7,,4,5,6,5,5,4,,,,,Adopt tools to collect application and network telemetry data,"Establish a centralized system to capture, analyze and monitor data",,,,,,,,Tools and projects that fill gaps in the observability space would be better,,
North America,"More than 5,000",Engineering Manager,,Software / Technology,,Hybrid Cloud (i.e. both),,,,,Prometheus,Thanos,Fluentd,Jaeger,,,,,"elasticsearch, loki, and Grafana",,,,,,,Management discourages use of/doesn’t see value of open source,,,1-9,,,,,,,,Organization - presence of process and team silos,Lack of leadership from management,,Not invented here.   Organization would rather invent proprietary solutions,,Security,,,,,,,Ability to evaluate competing or complementary projects/products on a like-for-like basis,,,,,,As-a-Service on public cloud,As-a-Service on private cloud,As-a-Service on-prem,Self-managed on public cloud,Self-managed in private cloud,Self-managed on-prem,,1,1,4,4,4,4,3,1,4,4,,1,1,1,2,1,4,,,,,,,,"Establish a single, unified view of the technology stack/platform",,,Deal with some of the open source dependencies moving to non permissive licenses (Grafana to AGPL for example),,,,,The TAG has been doing a great job -  I have been a passive participant
Europe,"More than 5,000",SRE / DevOps Engineer,,Consulting,,Hybrid Cloud (i.e. both),,,,,Prometheus,Thanos,Fluentd,Jaeger,,,,Litmus,,,Lack of supporting documentation,,,,,,Concern open source projects could be abandoned or become inactive,,1-9,,,,Shortage of skills,,,Engineers and teams using multiple tools,,,,,,Security,Hidden costs,Integration,,"Maturity of code, features, and project",,,Ability to evaluate competing or complementary projects/products on a like-for-like basis,Mapping and understanding dependencies and integrations,,,,,,,,Self-managed on public cloud,Self-managed in private cloud,Self-managed on-prem,,1,3,1,3,3,3,1,1,3,3,,1,3,1,1,1,1,,,,,Adopt tools to collect application and network telemetry data,"Establish a centralized system to capture, analyze and monitor data","Provide engineers with tools and data to identify, preempt, respond to and triage issues",,,Link IT performance issues with business outcomes,,I haven’t heard of the CNCF TAG Observability or its work,Reference architectures and frameworks would be ideal,Tools and projects that fill gaps in the observability space would be better,,
North America,100-499,Back-end Developer,,Hospitality,,Only Public Cloud,,,,,Prometheus,Thanos,,Jaeger,,,,,,,,Too complex to understand or run,,,,,,,1-9,,,Lack of resources,,,,,,,Complexity,,,,,,Ease of management,,,,,,Optimizing them,Lack of resources/expertise,,,,,,Self-managed on public cloud,,,,1,1,1,1,5,2,1,1,1,3,,1,1,1,1,1,4,,,,,,,,,Develop best practices,Link IT performance issues with business outcomes,,,,Tools and projects that fill gaps in the observability space would be better,,
Europe,500-999,Back-end Developer,,Software / Technology,,Only Public Cloud,,,Cortex,,Prometheus,,,Jaeger,OpenTelemetry,,,,,Difficult to install,Lack of supporting documentation,Too complex to understand or run,Doesn’t work well with my existing deployment tools or infrastructure,,,,,,1-9,,,,,,,,,,Complexity,,,,,,,"Maturity of code, features, and project",,"Mastering new technologies, architectures, and concepts - such as elasticity or micro-services",,Mapping and understanding dependencies and integrations,Optimizing them,,,,,,,Self-managed on public cloud,,,,1,3,4,5,,,,2,,,,5,4,3,2,1,6,,,,,Adopt tools to collect application and network telemetry data,,"Provide engineers with tools and data to identify, preempt, respond to and triage issues",,Develop best practices,,,I haven’t heard of the CNCF TAG Observability or its work,,,,
Asia,"1,000-4,999",Software Architect,,Software / Technology,,Hybrid Cloud (i.e. both),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North America,Less than 10,Back-end Developer,,Professional Services,,Only Public Cloud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Europe,"More than 5,000",Software Architect,,Government,,Only Private Cloud / On Premise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Europe,"1,000-4,999",SRE / DevOps Engineer,,Software / Technology,,Hybrid Cloud (i.e. both),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Europe,"More than 5,000",DevOps Management,,Financial Services,,Hybrid Cloud (i.e. both),,,,,Prometheus,,Fluentd,Jaeger,,OpenTracing,,,,,,Too complex to understand or run,,,,,Concern open source projects could be abandoned or become inactive,,1-9,,,,,,,Engineers and teams using multiple tools,,Lack of leadership from management,Complexity,,,,,,Ease of management,,,,,Mapping and understanding dependencies and integrations,,,,,,,,,Self-managed in private cloud,,,6,1,8,9,9,7,1,2,8,8,,2,2,1,4,1,4,,,,,Adopt tools to collect application and network telemetry data,,,,Develop best practices,,,,Reference architectures and frameworks would be ideal,,,
Europe,"More than 5,000",SRE / DevOps Engineer,,Financial Services,,Hybrid Cloud (i.e. both),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia and Oceania,50-99,SRE / DevOps Engineer,,Financial Services,,Only Public Cloud,,,,,,,,,,OpenTracing,,,Datadog,,Lack of supporting documentation,,,,,,,,1-9,,,Lack of resources,,,,,,,,,,,Hidden costs,,,,,,,,,,,,As-a-Service on public cloud,,,,,,,7,5,9,7,9,9,3,9,5,7,,4,3,5,3,5,3,,,,Secure budget and resources,,,"Provide engineers with tools and data to identify, preempt, respond to and triage issues","Establish a single, unified view of the technology stack/platform",Develop best practices,,,,Reference architectures and frameworks would be ideal,,,
Australia and Oceania,"More than 5,000",Software Architect,,Financial Services,,Hybrid Cloud (i.e. both),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asia,"More than 5,000",Software Architect,,Telecommunications,,Hybrid Cloud (i.e. both),,,,,Prometheus,Thanos,,Jaeger,,,,,,,,Too complex to understand or run,,,,,Concern open source projects could be abandoned or become inactive,,1-9,,,Lack of resources,Shortage of skills,,,Engineers and teams using multiple tools,,,,,,,,Integration,Ease of management,,,,,,Optimizing them,,,,,,,,Self-managed in private cloud,Self-managed on-prem,,2,3,7,5,8,5,3,2,6,7,,2,2,1,3,2,5,,,,Secure budget and resources,Adopt tools to collect application and network telemetry data,,,,,,,I haven’t heard of the CNCF TAG Observability or its work,Reference architectures and frameworks would be ideal,,,
Europe,500-999,SRE / DevOps Engineer,,Scientific or technical services,,Only Private Cloud / On Premise,,,,,Prometheus,,Fluentd,Jaeger,,,,,,Difficult to install,Lack of supporting documentation,,,,Security vulnerabilities,,,,10-15,,,Lack of resources,,,,,,,Complexity,,None - I don't have any concerns,,,,,,,,,,,,,,,,,,,Self-managed on-prem,,1,3,2,7,6,5,1,2,7,9,,4,3,2,1,2,6,,,,,,,"Provide engineers with tools and data to identify, preempt, respond to and triage issues","Establish a single, unified view of the technology stack/platform",Develop best practices,,,,Reference architectures and frameworks would be ideal,Tools and projects that fill gaps in the observability space would be better,,
Europe,Less than 10,Back-end Developer,,Software / Technology,,Hybrid Cloud (i.e. both),,,,,Prometheus,,,,,,,,Calyptia,,,,Doesn’t work well with my existing deployment tools or infrastructure,,,,,,1-9,,,,,,No strategy,,,,,,,,,,,"Maturity of code, features, and project",Level of support and long-term future,"Mastering new technologies, architectures, and concepts - such as elasticity or micro-services",Ability to evaluate competing or complementary projects/products on a like-for-like basis,,,,,,As-a-Service on public cloud,,,,,,,1,1,1,8,2,2,4,1,2,3,,1,2,3,4,2,5,,,,,,,,"Establish a single, unified view of the technology stack/platform",,,,I haven’t heard of the CNCF TAG Observability or its work,,,,
North America,"More than 5,000",SRE / DevOps Engineer,,Telecommunications,,Hybrid Cloud (i.e. both),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Europe,100-499,SRE / DevOps Engineer,,Consumer,,Hybrid Cloud (i.e. both),,,,OpenMetrics,Prometheus,,Fluentd,Jaeger,OpenTelemetry,OpenTracing,,,,,,,,Code bugs,,,,,10-15,,,,,,,Engineers and teams using multiple tools,,,Complexity,,,,,,Ease of management,,,,,,Optimizing them,,,,As-a-Service on public cloud,,,Self-managed on public cloud,Self-managed in private cloud,Self-managed on-prem,,2,1,7,8,9,7,1,1,5,7,,2,4,2,3,2,5,,,,Secure budget and resources,Adopt tools to collect application and network telemetry data,,"Provide engineers with tools and data to identify, preempt, respond to and triage issues",,Develop best practices,,,I haven’t heard of the CNCF TAG Observability or its work,Reference architectures and frameworks would be ideal,,,
Europe,"1,000-4,999",SRE / DevOps Engineer,,Retail,,Hybrid Cloud (i.e. both),,,Cortex,,Prometheus,,Fluentd,,,,,,,,Lack of supporting documentation,Too complex to understand or run,,,,,,,1-9,,,Lack of resources,Shortage of skills,,No strategy,,,Lack of leadership from management,,,,,,,,,,"Mastering new technologies, architectures, and concepts - such as elasticity or micro-services",,,,Lack of resources/expertise,,,As-a-Service on public cloud,,,Self-managed on public cloud,Self-managed in private cloud,Self-managed on-prem,,8,6,2,1,2,6,7,8,1,3,,3,5,4,4,6,5,,,Develop a strategy,,,"Establish a centralized system to capture, analyze and monitor data","Provide engineers with tools and data to identify, preempt, respond to and triage issues","Establish a single, unified view of the technology stack/platform",Develop best practices,,,I haven’t heard of the CNCF TAG Observability or its work,Reference architectures and frameworks would be ideal,,A series of hosted talks would have the most impact,
Europe,10-49,Full-Stack Developer,,Consulting,,Only Public Cloud,,,Cortex,,Prometheus,,Fluentd,Jaeger,OpenTelemetry,,,,,Difficult to install,,Too complex to understand or run,,,,,,,1-9,,,Lack of resources,,,,Engineers and teams using multiple tools,Organization - presence of process and team silos,,,,,,,,Ease of management,,Level of support and long-term future,,,,,Lack of resources/expertise,,,,,,Self-managed on public cloud,,,,9,9,6,4,2,7,9,9,5,8,,5,3,1,2,4,6,,,,,,"Establish a centralized system to capture, analyze and monitor data","Provide engineers with tools and data to identify, preempt, respond to and triage issues","Establish a single, unified view of the technology stack/platform",,,,,Reference architectures and frameworks would be ideal,,A series of hosted talks would have the most impact,
North America,10-49,Product/Project Management,,Software / Technology,,Only Public Cloud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South and Central America,"More than 5,000",SRE / DevOps Engineer,,Financial Services,,Hybrid Cloud (i.e. both),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asia,500-999,Engineering Manager,,Software / Technology,,Hybrid Cloud (i.e. both),,,,,Prometheus,,Fluentd,Jaeger,,,,,,,,Too complex to understand or run,Doesn’t work well with my existing deployment tools or infrastructure,,,,,,1-9,,,,Shortage of skills,,,Engineers and teams using multiple tools,,,,,,,,Integration,,"Maturity of code, features, and project",Level of support and long-term future,"Mastering new technologies, architectures, and concepts - such as elasticity or micro-services",,,,,,,,,,Self-managed on public cloud,,,,8,8,8,8,8,8,8,8,8,8,,3,4,6,6,6,3,,,Develop a strategy,,,"Establish a centralized system to capture, analyze and monitor data","Provide engineers with tools and data to identify, preempt, respond to and triage issues",,Develop best practices,,,I haven’t heard of the CNCF TAG Observability or its work,Reference architectures and frameworks would be ideal,Tools and projects that fill gaps in the observability space would be better,A series of hosted talks would have the most impact,
