Respondent ID,What environments do you run your applications in?,,How much is your cloud-related spend?,How much has your cloud-related spend grown in the last 12 months?,How do you monitor your cloud spend? Select all that apply:,,,,,,,How much of your cloud spend goes to Kubernetes?,What is your Kubernetes scale across all of your clusters?,What level of Kubernetes cost monitoring do you have in place?,Which of the following tools are you currently using to monitor Kubernetes spend?,,,,,,,,,,,,,,,,,,,,,,,"Have costs increased, decreased, or stayed the same since adopting Kubernetes?",How accurately can you predict your monthly cloud spend?,What’s the impact of not being able to predict monthly cloud spend? Select all that apply.,,,,,"If you cannot routinely anticipate monthly cloud spend, does that make you more or less trusting of your cloud providers?",,Have you repatriated any cloud workloads back on-premise to enterprise data centers?,"If you repatriated cloud workloads back to on-premise, why? Select all that apply.",,,,,"How likely is it that you can get your engineers, development and products teams to pay attention to cloud spend and be more strategic with it?","How important is it that engineers, development and product teams pay attention to cloud spend and be more strategic with it?",What factors are leading you to overspend? Select all that apply:,,,,,,,,,,,,What do you think would help to get overspend under control? Select all that apply.,,,,,,Where are you on your FinOps journey?
114353744471,"One to two environments, e.g. AWS & Azure",,Less than $50k/mo,Increased > 20%,,Within a cost-monitoring tool’s interface,,,,Reviewing the monthly bill,,26-50%,101-250 nodes,Estimates,,AWS Cost Explorer,,,,,,,,,,,,,KubeCost,,,,,,,,,Slightly increased,Not very accurately,,Have to juggle other accounts to pay the bill,Don’t put capital to use in other ways,,,More,,No,,,,,,Somewhat likely,Very important,,"Overprovisioning - for example, workloads using more resources than necessary",,,Presence of resource-hungry workloads,,Technical debt - existing workloads not re-architected for scalability of cloud,,,"Lack of visibility and insight into consumption, budget and spending","Absence of centralized, consistent or standardized processes and/or tools for insight and action across all our cloud providers",,Team and individual awareness of the need for spend discipline,Improved collaboration and communication on consumption and spend,Best practices that individuals and teams could follow and implement,"Standardized tools in resource monitoring and optimisation, forecasting and accounting",Executive-level leadership on cost control and adoption of a set of standard tools and practices,,Rolling out standardized processes and tools
114353745045,AWS,,Greater than $1 million/mo,Remained constant,,,,,Within the cloud-provided billing exploration tool,Reviewing the monthly bill,,26-50%,"501-1,000 nodes",Estimates,,AWS Cost Explorer,,,,,,,,,,,,,,,,,,,,,,Slightly decreased,Exact,,,,,,,,No,,,,,,Somewhat likely,Very important,,,Sprawl - such as resources not deactivated after use,,Presence of resource-hungry workloads,Fluctuating consumption demands,,,,,,,,,Best practices that individuals and teams could follow and implement,,,,"Optimisation of our cloud utilization - tapping unused instances and right-sizing instances, for example"
114353745065,None of the above,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114353744952,AWS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114353744739,Azure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114353737119,"One to two environments, e.g. AWS & Azure",,Less than $1 million/mo,Remained constant,,,Cost-monitoring tool data exported to dashboards with alerts (i.e. Grafana),,Within the cloud-provided billing exploration tool,,,76-100%,"501-1,000 nodes",Accurate showback,,AWS Cost Explorer,,,,,CloudCustodian (CNCF),,,,Datadog,,GCP Cost Tools,,KubeCost,,,,,Splunk,,,,Remained constant,Exact,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,
114353737764,On-prem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114353716576,Azure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114353714157,Three or more environments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114353706294,AWS,,Less than $10k/mo,Remained constant,,,,,Within the cloud-provided billing exploration tool,,,None of the above - I don't run applications in cloud environments on Kubernetes,,,,,,,,,,,,,,,,,,,,,,,,,,,Not at all,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114347598114,Three or more environments,,Less than $250k/mo,Increased < 20%,,,,,Within the cloud-provided billing exploration tool,Reviewing the monthly bill,,0-25%,1-50 nodes,No monitoring,,AWS Cost Explorer,,,,,,,,,,,GCP Cost Tools,,,,,,,,,,,Remained constant,Not very accurately,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114347569870,Azure,,Less than $250k/mo,Decreased < 20%,,,,,Within the cloud-provided billing exploration tool,,,26-50%,1-50 nodes,No monitoring,,,Azure Cost Management,,,,,,,,,,,,,,,,,,,,,Slightly decreased,Not very accurately,,Have to juggle other accounts to pay the bill,,Tend not to use the cloud where we might need so that costs don’t go over the planned budget,,More,,No,,,,,,Very likely,Very important,,"Overprovisioning - for example, workloads using more resources than necessary",Sprawl - such as resources not deactivated after use,,,,,,Lack of individual or team-level awareness or responsibility,"Lack of visibility and insight into consumption, budget and spending","Absence of centralized, consistent or standardized processes and/or tools for insight and action across all our cloud providers",,Team and individual awareness of the need for spend discipline,Improved collaboration and communication on consumption and spend,Best practices that individuals and teams could follow and implement,"Standardized tools in resource monitoring and optimisation, forecasting and accounting",Executive-level leadership on cost control and adoption of a set of standard tools and practices,,"Optimisation of our cloud utilization - tapping unused instances and right-sizing instances, for example"
114347549988,"One to two environments, e.g. AWS & Azure",,Less than $50k/mo,Increased > 20%,,Within a cost-monitoring tool’s interface,Cost-monitoring tool data exported to dashboards with alerts (i.e. Grafana),Cost-monitoring tool data exported to another accounting tool,Within the cloud-provided billing exploration tool,Reviewing the monthly bill,,76-100%,51-100 nodes,Estimates,,,,,,,,,,,,,,,KubeCost,,,,,,,,,Significantly decreased,Within 5%,,,,,,,,No,,,,,,Very likely,Very important,,,,,Presence of resource-hungry workloads,,Technical debt - existing workloads not re-architected for scalability of cloud,Poor planning and prediction on cloud consumption,Lack of individual or team-level awareness or responsibility,"Lack of visibility and insight into consumption, budget and spending",,,Team and individual awareness of the need for spend discipline,Improved collaboration and communication on consumption and spend,,"Standardized tools in resource monitoring and optimisation, forecasting and accounting",,,"Evaluation and analysis - researching the tools, conducting analysis of budgets and forecasting our planned cloud consumption"
114347452858,AWS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114346340412,Other (please specify),CLOUD4AFRICA,Less than $10k/mo,Decreased > 20%,,,,,,Reviewing the monthly bill,,0-25%,1-50 nodes,No monitoring,None of the above,,,,,,,,,,,,,,,,,,,,,,,Significantly decreased,Not very accurately,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114346248485,Azure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114346240846,AWS,,Greater than $1 million/mo,Increased > 20%,,Within a cost-monitoring tool’s interface,Cost-monitoring tool data exported to dashboards with alerts (i.e. Grafana),Cost-monitoring tool data exported to another accounting tool,Within the cloud-provided billing exploration tool,Reviewing the monthly bill,,0-25%,101-250 nodes,No monitoring,None of the above,,,,,,,,,,,,,,,,,,,,,,,Significantly increased,Within 10%,,,,,,,,No,,,,,,Not at all likely,Somewhat important,,"Overprovisioning - for example, workloads using more resources than necessary",Sprawl - such as resources not deactivated after use,,,,Technical debt - existing workloads not re-architected for scalability of cloud,,Lack of individual or team-level awareness or responsibility,,,,Team and individual awareness of the need for spend discipline,Improved collaboration and communication on consumption and spend,,,,,"Evaluation and analysis - researching the tools, conducting analysis of budgets and forecasting our planned cloud consumption"
114346242585,On-prem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114337382182,GCP,,Less than $50k/mo,Increased > 20%,,,,,Within the cloud-provided billing exploration tool,,,26-50%,1-50 nodes,No monitoring,,,,,,,,,,,,,,,,OpenCost,,,,,,,,Significantly increased,Not very accurately,,,,Tend not to use the cloud where we might need so that costs don’t go over the planned budget,,Less,,No,,,,,,Somewhat unlikely,Somewhat important,,,Sprawl - such as resources not deactivated after use,,,,,,Lack of individual or team-level awareness or responsibility,"Lack of visibility and insight into consumption, budget and spending","Absence of centralized, consistent or standardized processes and/or tools for insight and action across all our cloud providers",,Team and individual awareness of the need for spend discipline,Improved collaboration and communication on consumption and spend,,"Standardized tools in resource monitoring and optimisation, forecasting and accounting",,,"Evaluation and analysis - researching the tools, conducting analysis of budgets and forecasting our planned cloud consumption"
114341596016,Azure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114338129410,AWS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114338090098,GCP,,Less than $50k/mo,Increased < 20%,,,Cost-monitoring tool data exported to dashboards with alerts (i.e. Grafana),,,,,76-100%,1-50 nodes,Accurate showback,,,,,,,,,,,,,GCP Cost Tools,,,OpenCost,,,,,,,,Significantly decreased,Within 5%,,,,,,,,No,,,,,,Somewhat likely,Very important,,"Overprovisioning - for example, workloads using more resources than necessary",Sprawl - such as resources not deactivated after use,,Presence of resource-hungry workloads,,Technical debt - existing workloads not re-architected for scalability of cloud,,Lack of individual or team-level awareness or responsibility,,,,Team and individual awareness of the need for spend discipline,,Best practices that individuals and teams could follow and implement,,,,Piloting processes and tools
114337819068,Azure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114337413013,Azure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114337403521,AWS,,None of the above - I don't run applications in cloud environments,None of the above - I don't run applications in cloud environments,None of the above - I don't run applications in cloud environments,,,,,,,None of the above - I don't run applications in cloud environments on Kubernetes,,,,,,,,,,,,,,,,,,,,,,,,,,,Not at all,,,Don’t put capital to use in other ways,,,Less,,No,,,,,,Not at all likely,Not at all important,None of the above,,,,,,,,,,,,,,,,Executive-level leadership on cost control and adoption of a set of standard tools and practices,,Nothing - haven’t started
114337273070,"One to two environments, e.g. AWS & Azure",,Less than $50k/mo,Increased < 20%,,Within a cost-monitoring tool’s interface,Cost-monitoring tool data exported to dashboards with alerts (i.e. Grafana),Cost-monitoring tool data exported to another accounting tool,Within the cloud-provided billing exploration tool,Reviewing the monthly bill,,0-25%,1-50 nodes,Estimates,,AWS Cost Explorer,,,,,,,,,Datadog,,,,,,,,,,,,,Significantly decreased,Within 10%,,,,,,,,No,,,,,,Very likely,Very important,,"Overprovisioning - for example, workloads using more resources than necessary",,Availability of a self-service infrastructure,,,,Poor planning and prediction on cloud consumption,,"Lack of visibility and insight into consumption, budget and spending",,,Team and individual awareness of the need for spend discipline,Improved collaboration and communication on consumption and spend,Best practices that individuals and teams could follow and implement,"Standardized tools in resource monitoring and optimisation, forecasting and accounting",Executive-level leadership on cost control and adoption of a set of standard tools and practices,,Piloting processes and tools
114337182833,Azure,,Greater than $1 million/mo,Remained constant,,,,Cost-monitoring tool data exported to another accounting tool,Within the cloud-provided billing exploration tool,Reviewing the monthly bill,,51-75%,251-500 nodes,Estimates,,,,,,,,,,,,,,,,,,,,,,Spreadsheets,,Slightly increased,Within 10%,,,,,,,,No,,,,,,Somewhat likely,Very important,,"Overprovisioning - for example, workloads using more resources than necessary",Sprawl - such as resources not deactivated after use,Availability of a self-service infrastructure,,Fluctuating consumption demands,Technical debt - existing workloads not re-architected for scalability of cloud,Poor planning and prediction on cloud consumption,,,,,Team and individual awareness of the need for spend discipline,Improved collaboration and communication on consumption and spend,Best practices that individuals and teams could follow and implement,,Executive-level leadership on cost control and adoption of a set of standard tools and practices,,Rolling out standardized processes and tools
114337184274,"One to two environments, e.g. AWS & Azure",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114337074473,Other (please specify),"Scaleway, Oracle, GCP",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114337036753,"One to two environments, e.g. AWS & Azure",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114336864733,Three or more environments,,Greater than $1 million/mo,Increased > 20%,,Within a cost-monitoring tool’s interface,Cost-monitoring tool data exported to dashboards with alerts (i.e. Grafana),,,,,0-25%,1-50 nodes,Chargeback program,,AWS Cost Explorer,Azure Cost Management,,,,,,,,,,,Home grown tool,,,,,,,,Spreadsheets,,Remained constant,Within 10%,,,,,,,,No,,,,,,Very likely,Somewhat important,,"Overprovisioning - for example, workloads using more resources than necessary",,,,,,,Lack of individual or team-level awareness or responsibility,"Lack of visibility and insight into consumption, budget and spending",,,,,,,Executive-level leadership on cost control and adoption of a set of standard tools and practices,,"Optimisation of our cloud utilization - tapping unused instances and right-sizing instances, for example"
114336802948,"One to two environments, e.g. AWS & Azure",,Less than $1 million/mo,Decreased < 20%,,,Cost-monitoring tool data exported to dashboards with alerts (i.e. Grafana),,Within the cloud-provided billing exploration tool,Reviewing the monthly bill,,51-75%,251-500 nodes,Estimates,,AWS Cost Explorer,,,,,,,,,,,GCP Cost Tools,Home grown tool,KubeCost,,,,,,,Spreadsheets,,Slightly increased,Within 10%,,,,,,,,No,,,,,,Somewhat likely,Very important,,"Overprovisioning - for example, workloads using more resources than necessary",Sprawl - such as resources not deactivated after use,,,,Technical debt - existing workloads not re-architected for scalability of cloud,,,"Lack of visibility and insight into consumption, budget and spending",,,,Improved collaboration and communication on consumption and spend,,,,,"Optimisation of our cloud utilization - tapping unused instances and right-sizing instances, for example"
114336752705,"One to two environments, e.g. AWS & Azure",,Less than $1 million/mo,Remained constant,,,Cost-monitoring tool data exported to dashboards with alerts (i.e. Grafana),,,,,0-25%,1-50 nodes,Estimates,,,,,,,,CloudHealth (VMware),,,,,,,,,,,,,,,,Slightly increased,Within 5%,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,
114336642505,GCP,,Greater than $1 million/mo,Decreased < 20%,,Within a cost-monitoring tool’s interface,Cost-monitoring tool data exported to dashboards with alerts (i.e. Grafana),,Within the cloud-provided billing exploration tool,,,26-50%,51-100 nodes,Estimates,,AWS Cost Explorer,,,,,,,,,,,GCP Cost Tools,,,,,,,,,,Harness CCM,Remained constant,Within 25%,,,,,,,,No,,,,,,Very likely,Very important,,"Overprovisioning - for example, workloads using more resources than necessary",Sprawl - such as resources not deactivated after use,,,Fluctuating consumption demands,,,Lack of individual or team-level awareness or responsibility,,,,Team and individual awareness of the need for spend discipline,,Best practices that individuals and teams could follow and implement,,Executive-level leadership on cost control and adoption of a set of standard tools and practices,,"Operationalisation - tracking, reporting and evaluating cloud consumption and spend"
114336581858,AWS,,Less than $1 million/mo,Increased < 20%,,Within a cost-monitoring tool’s interface,Cost-monitoring tool data exported to dashboards with alerts (i.e. Grafana),Cost-monitoring tool data exported to another accounting tool,,,,0-25%,51-100 nodes,Estimates,,AWS Cost Explorer,,,,,,,,,,,,,KubeCost,,,,,,Spot (NetApp),,,Remained constant,Within 10%,,,,,,,,No,,,,,,Somewhat likely,Very important,,"Overprovisioning - for example, workloads using more resources than necessary",,,Presence of resource-hungry workloads,,Technical debt - existing workloads not re-architected for scalability of cloud,Poor planning and prediction on cloud consumption,,"Lack of visibility and insight into consumption, budget and spending",,,Team and individual awareness of the need for spend discipline,Improved collaboration and communication on consumption and spend,Best practices that individuals and teams could follow and implement,,Executive-level leadership on cost control and adoption of a set of standard tools and practices,,"Operationalisation - tracking, reporting and evaluating cloud consumption and spend"
114336576985,"One to two environments, e.g. AWS & Azure",,Less than $10k/mo,Remained constant,,,Cost-monitoring tool data exported to dashboards with alerts (i.e. Grafana),Cost-monitoring tool data exported to another accounting tool,,,,0-25%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114336555723,"One to two environments, e.g. AWS & Azure",,Less than $10k/mo,Decreased > 20%,,,Cost-monitoring tool data exported to dashboards with alerts (i.e. Grafana),,,,,26-50%,51-100 nodes,No monitoring,,,,,,,,,,,,,,,,,,,SoftwareOne PyraCloud,,,,,Slightly increased,Within 10%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114336547612,Three or more environments,,Less than $10k/mo,None of the above - I don't run applications in cloud environments,,Within a cost-monitoring tool’s interface,,,,,,None of the above - I don't run applications in cloud environments on Kubernetes,,,,,,,,,,,,,,,,,,,,,,,,,,,Not at all,Have to keep more cash on hand just in case,,,,,Less,,No,,,,,,Somewhat unlikely,Very important,,"Overprovisioning - for example, workloads using more resources than necessary",,Availability of a self-service infrastructure,,,,,,,,,Team and individual awareness of the need for spend discipline,,,,,,"Evaluation and analysis - researching the tools, conducting analysis of budgets and forecasting our planned cloud consumption"
114336527312,"One to two environments, e.g. AWS & Azure",,Greater than $1 million/mo,Increased > 20%,,Within a cost-monitoring tool’s interface,Cost-monitoring tool data exported to dashboards with alerts (i.e. Grafana),,Within the cloud-provided billing exploration tool,,,0-25%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114336490074,Other (please specify),"Hybrid - on prem, Azure and AWS",Less than $50k/mo,Increased < 20%,,,,,,Reviewing the monthly bill,,0-25%,51-100 nodes,No monitoring,,AWS Cost Explorer,Azure Cost Management,,,,,,,,,,,,,,,,,,,,,Slightly increased,Not very accurately,,,,Tend not to use the cloud where we might need so that costs don’t go over the planned budget,,Less,,No,,,,,,Somewhat likely,Somewhat important,,"Overprovisioning - for example, workloads using more resources than necessary",Sprawl - such as resources not deactivated after use,,,Fluctuating consumption demands,Technical debt - existing workloads not re-architected for scalability of cloud,,,,,,Team and individual awareness of the need for spend discipline,Improved collaboration and communication on consumption and spend,Best practices that individuals and teams could follow and implement,"Standardized tools in resource monitoring and optimisation, forecasting and accounting",Executive-level leadership on cost control and adoption of a set of standard tools and practices,,"Evaluation and analysis - researching the tools, conducting analysis of budgets and forecasting our planned cloud consumption"
114336438617,AWS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114336413494,GCP,,Less than $250k/mo,Decreased < 20%,,,Cost-monitoring tool data exported to dashboards with alerts (i.e. Grafana),,,,,51-75%,101-250 nodes,Estimates,,,,,,,,,,,,,GCP Cost Tools,,,,,,,,,,,Slightly increased,Within 10%,,,,,,,,Yes,,,Internal policies,,,,,,,,,,,,,,,,,,,,,,,
114336409791,Three or more environments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
