My employer is (select one):,Which CNCF Project(s) are you currently maintaining?,Do you participate in a Technical Advisory Group?,,Do you interact with or engage with other CNCF projects outside of the ones you maintain? Which ones?,,"Would you recommend CNCF to other open source projects, and why?",,"Are you satisfied with the overall support your project receives from CNCF (e.g., marketing, budget, scholarships, events etc)",,Did you feel that the CNCF staff responded quickly to your requests?,,"Do you have a good understanding of the resources and programs available to you (i.e., CNCF ServiceDesk)?",,Do you have a good understanding of the Technical Oversight Committee and Technical Advisory Groups and know how to engage with them?,,"Do you find the metrics provided by the CNCF (DevStats, CloMonitor, Project Health) valuable for the needs of your project?",,Did you feel that the Technical Oversight Committee responded quickly to your requests?,,What project benefits are you satisfied the most with?,"If you have applied to move levels, did the process for moving levels match your expectations? Why or why not? If you haven’t applied, why not?",How do you feel about the current requests and requirements of projects moving levels or after graduation?,What services do you wish the CNCF provided that it doesn't currently?,"Any other feedback that you wish to share, from what CNCF can do more or what we should do less?"
A vendor of cloud technology,Tremor,No,,Yes,"OpenTelemetry, Kubernetes",9,Yes. Its a great way four cloud relevant OSS to raise the bar,8,It can be a little confusing for smaller projects to navigate sometimes,Strongly agree,"Yes, Amye is a superstar!",9,,8,Not as clued in as I should be here,9,,6,"Our 2022 status annual review is still not merged. We understand the process is changing, but this was a useful annual process for which there is no replacement for 2023. A lot changed in sponsorship of the project and employment of maintainers of tremor this year and it isn't captured anywhere","Cloud sandbox, service desk, mentorship program from LF",I don't know what this is? Graduation level? This stalled for us as the annual review process is in limbo ( and many of our maintainers on tremor were in limbo this year ),No visible progress and no clear guidelines on how to progress,The services at a sandbox level are fine but graduating to the next level is not an obvious process for a smaller project,"Keep on evolving and changing for the better. The bumps are ok as ultimately all CNCF projects benefit from aligning principles, practices and processes and this benefits all projects at all levels"
An End User company (not involved in direct monetization of CNCF projects),tremor,No,,No,,9,,Strongly agree,,9,,9,,7,,9,,7,,"It's hard to pick, the support around github and code quality along with the opportunities for marketing probably rank the highest",-,-,-,
A vendor of cloud technology,Kuma,No,,Yes,Envoy,8,,N/A,Didn’t get any of this,Strongly agree,,7,,8,,6,,6,Our yearly review is still not reviewed and we are soon to start the next one,Visibility,About to do it but the process is unclear at the moment,Unclear,"Negotiate prices with cloud providers, swag vendors etc for projects to help them finance these",
An End User company (not involved in direct monetization of CNCF projects),Dex,No,,Yes,,9,,7,,6,,5,,4,,Strongly agree,,N/A,,Github Enterprise subscription,Not applied,"For sandbox -> incubating everything seems clear to me, but the criteria of graduation is still obscure.",Everything is ok,
An End User company (not involved in direct monetization of CNCF projects),PipeCD,Yes,,Yes,"etcd, flux",Strongly agree,,Strongly agree,,8,,8,,8,,Strongly agree,,8,,Tech documentation writer support,We have not yet applied for moving level but tend to do so,We have not yet applied for moving level but tend to do so,UI/UX design support,
Neither,SlimToolkit,Yes,,Yes,ContainerD,Strongly agree,CNCF is great for any cloud-native tech related project,Strongly agree,,Strongly agree,,9,Still learning about what's available,8,,6,"Some of it is valuable, but hard to use/navigate in some cases",N/A,,Project Pavilion opportunity at KubeCon.,N/A,N/A,"Maybe some kind of project related education/training initiative (CNCF University or some other name), so the users can learn about the projects in a more structured and hands-on way.",Project sessions at KubeCon can benefit from more visibility. Most people didn't know about them.
Neither,Athenz,No,,Yes,CertManager,8,,6,Would prefer better support for sandbox projects,N/A,,8,,8,,7,,N/A,,N/A,We haven’t yet achieved having 3 companies using our solution in production so we haven’t applied yet to love our level.,Requirements for moving levels are fine.,"Opportunities for sandbox projects to advertise their products more - like blog posts, spotlight a couple of projects every month",
A vendor of cloud technology,Crossplane Rook,No,,No,,9,The CNCF continues to be a reputable foundation for open source projects and maintains a decent quality bar across the board. It is respected and provides value to member projects.,8,,9,,7,"The list of services keeps getting bigger and bigger, I wish I checked in on it more often to try to take advantage of more of them.",7,,8,These tools are definitely useful for project metrics and stats. Project Health dashboard is really useful too except for its very challenging to read for just 1 project because there are so many other projects on there making it huge and having to scroll a lot.,N/A,"We didn't engage with the TOC directly this year, but as we're getting ready to proposal Graduation for Crossplane, I don't have a high level of confidence that there will be quick responses and progress from the TOC. They are important people and very busy with a lot of responsibilities.",We were really grateful and happy with the security audits we received this year. Those are very important for our maturity and a super valuable service the CNCF provides.,"We will be applying for Graduation early next year, but I've moved levels multiple times for both Crossplane and Rook and the process is quite a grind to get through.",The requirements are fairly reasonable but the process is so long and slow moving.,It would be amazing to have more programs and budget for staffing maintainers and contributors on the projects. This probably isn't very feasible but would be a great help to projects to have more hands on deck.,
A vendor of cloud technology,Kuberhealthy,No,,No,,Strongly agree,The CNCF is an incredible foundation for fostering open source. There is no comparison!,Strongly agree,The CNCF offers my project a lot of benefits and it is much appreciated.,Strongly agree,,9,,8,,9,,N/A,,Public exposure and build system funding have been a great help.,"I have not applied yet. The project is a bit behind expectations and I am working to fix that with a new release. After that occurs, some additional time needs invested to increase community involvement.",So far I feel that the requirements are well defined and reasonable.,Nothing comes to mind. I am very thankful for the CNCF!,
A vendor of cloud technology,bfe,No,,Yes,prometheus,9,,9,,9,,8,,7,,8,,9,,Get more feedback for BFE project from the community,We are planning to apply for incubating project. But we haven't applied. We're working to add more features to BFE project and attracting more users.,The requirements are OK.,The annual cncf survey should make statistics for sandbox project. I got the data for BFE project from the survey two years ago. But I can't get the data in the survey of 2021 and 2022.,
A vendor of cloud technology,kube-ovn,Yes,,Yes,,Strongly agree,,Strongly agree,,Strongly agree,,Strongly agree,,Strongly agree,,Strongly agree,,Strongly agree,,k8s,It is ok now,It is ok now,It is ok now,It is ok now
Neither,Pravega,No,,No,,9,CNCF is properly supporting the project and helping whenever needed,9,,Strongly agree,,8,,6,,9,,N/A,,"AWS resources, support for setting up community meetings",N/A,Appropriate.,"Help with merchandising (e.g., leaflets, stickers, t-shirts) when representing the project in events like Kubecon (I'm not aware that this support exists, at least).",
A vendor of cloud technology,MetalLB,No,,Yes,Kubernetes,Strongly agree,,9,,Strongly agree,,Strongly agree,,7,,Strongly agree,,8,,CI cloud credits / zoom credentials,"I haven't applied yet, will probably do in the next year.",The requirements seem fine,Nothing that I can think of,
A vendor of cloud technology,"Thanos, Cortex",No,,Yes,,5,,Strongly disagree,,7,,4,,6,,Strongly agree,,4,,CNCF Blogs exposure. Infrastructure resources.,NA,I never look into it about the process of moving levels.,NA,
A vendor of cloud technology,"Argo, Kubeflow",No,,No,,Strongly agree,,Strongly agree,,Strongly agree,,Strongly agree,,Strongly agree,,Strongly agree,,N/A,,Conference and marketing support,Yes,Good,"There’s only one maintainer track talk for the entire Argo project. However, it’s usually focused on only one of the subprojects (ArgoCD) and hard to include other subprojects. It might be a good idea to allow more maintainer track sessions for all subprojects within Argo.",See the last feedback regarding maintainer session
A vendor of cloud technology,k8gb,No,,Yes,"crossplane, kubernetes, coredns",Strongly agree,,7,,Strongly agree,,8,,7,,Strongly agree,,6,https://github.com/cncf/toc/pull/1153 k8gb annual review PR is open since August ;) so can't give super high rating here :),Visibility Good street cred to be a part of the CNCF ecosystem  K8GB stickers at KubeCon are dope :),"I am still waiting for that annual review PR https://github.com/cncf/toc/pull/1153 , it will unblock me to proceed with Incubation application :)","While requirements at https://github.com/cncf/toc/blob/main/process/graduation_criteria.md#incubating-stage do make sense, it is not super clear *when* I can start applying the project to Incubating level, e.g. if annual review blocking the process or not",Ability to use larger github runners for CI https://docs.github.com/en/actions/using-github-hosted-runners/about-larger-runners Some minimalistic cloud access across 3 hyperscalers to be able to test integrations e2e,
A vendor of cloud technology,"Emissary-ingress, Envoy Gateway (under the Envoy project)",No,,Yes,"Envoy, Argo, Helm, Istio, Linkerd, Prometheus, Cert-Manager, gRPC, Keycloak, OpenTelemetry, ArtifactHub, K3s,",Strongly agree,High quality free software is always nice,N/A,,N/A,,N/A,,N/A,,Strongly disagree,,N/A,,CI costs covered,Moving from sandbox to incubating was about what we expected. I personally don't think the return on investment is worth moving tiers.,"I don't really care about the different levels. Feels just like a marketing thing. I don't put any consideration into the level of a CNCF project when I decide to become a user of it. From a maintainer standpoint, it just seems like extra headaches and external expectations/involvement that are more of a nuisance than a benefit.",N/A,Definitely less. I'm always approached at Kubecon from one or more people involved with CNCF trying to get us to spend time/money on programs/innitiatives that seem frivolous. I typically just like to be left alone to work on my project and only really interact with users of projects I work on.
Neither,Knative,No,,Yes,"CloudEvents, DAPR, KEDA, Gateway API, Istio, Contour, Cloud Native Buildpacks",8,CNCF includes a variety of additional services which can be helpful for a project which isn't under a single corporate entity.,8,I think we might be better able to utilize some of the resources; also CNCF legal has been a bit slower than other services.,9,"The CNCF staff are generally very good at getting back to us quickly, though sometimes more complicated questions don't get a complete answer for a while.",8,We've used the service desk a number of times.,9,"We haven't had a lot of engagement with the TAGs yet; we're currently working on recruiting more maintainers, which should give us bandwidth to engage.",9,These are very useful to us.,9,"Yes, the TOC has been very helpful when we've needed them.",The visibility and governance support have been very helpful.,We are in the process of preparing to apply for graduation. It took a while to finish the prerequisites (particularly the security review) due to maintainer time limits.,They seem fair overall.,We could use more help with recruiting maintainers and collecting information about companies which use Knative. (Non-technical community management.),We are currently trialing a program to engage with college design students to improve the usability of Knative. It would be great for the CNCF to help projects pioneer ways for non-coding people to participate more usefully in open source.
An End User company (not involved in direct monetization of CNCF projects),"Keptn, Kepler",Yes,,Yes,"Flux, Kubernetes, Harbor",Strongly agree,Good Goverence,Strongly agree,Very satisfied and grateful.,7,To mine yes but i have heard TOC requests take awhile,8,,9,,7,,5,,"Governance, growth and strategic direction of foundation",Yes they did when we went to incubating,slowly but surely and that is actually good for quality,More strategy outside US and EU,
A vendor of cloud technology,Contour,No,,Yes,"Gateway API, Envoy",9,,8,,8,,6,,6,,7,,N/A,,"Support at Kubecon, cloud environments provided for the project, general people support","Have not yet applied, due to company changes.",LGTM,More website/docs/technical writer support to level up project docs.,
A vendor of cloud technology,Contour,No,,Yes,"Kubernetes, Envoy",Strongly agree,,Strongly agree,,Strongly agree,"always very helpful, particularly around KubeCon!",5,,5,,7,,N/A,,KubeCon maintainer track talks Cloud (GCP) resources for testing,Haven't applied yet because we need more maintainers from additional companies before being ready to graduate,"From my understanding they seem reasonable, but haven't looked in depth given that we haven't attempted a move",N/A,
A vendor of cloud technology,Network Service Mesh,No,,Yes,Spiffe/Spire,Strongly agree,,Strongly agree,,Strongly agree,,Strongly agree,,Strongly agree,,Strongly agree,,Strongly agree,,Overall willingness of staff to simply solve problems :),Have not yet moved levels.,They are reasonable.,Nothing comes to mind.,CNCF staff is exceptiona.
A vendor of cloud technology,Antrea,No,,Yes,Kubernetes,Strongly agree,"Added visibility for project, good technical and marketing support from CNCF",9,,9,,Strongly agree,,8,,Strongly agree,,8,"1-1 support from CNCF staff for things like Netlify hosting has been pretty great. However, other things involving the TOC seem to be moving slow. For example, the PR for our annual review is still not merged (https://github.com/cncf/toc/pull/1178), and I opened a request for a license exception which does not seem to be moving forward (https://github.com/cncf/foundation/issues/624).",Project exposure at KubeCon Technical resources such as Netlify web hosting,Not applied yet to move to incubation. We are planning to do in in 2024. Currently waiting for annual review to close (https://github.com/cncf/toc/pull/1178),"The requests / requirements seem fair to us. It seems however that all requirements may not be documented. I attended a KubeCon talk about how to move levels, and it seemed to me that not all the requirements mentioned during the talk (for incubation) were well documented in the CNCF online resources. For example, there seems to be a requirement that all CI/CD pipelines be hosted in a vendor-independent enviroment?","Maybe more flexibility for CI/CD pipelines (e.g., Jenkins resources).",
A vendor of cloud technology,Istio,No,,No,,Strongly agree,,8,,Strongly agree,,9,,Strongly agree,,8,I just learned of some of these.,N/A,,Netlify,It did,They seem to be about right.,None,
A vendor of cloud technology,Porter + CNAB,Yes,,No,,Strongly agree,"I love the CNCF. I do not think I would have the career I do without it. The community is strong, the people are kind and welcoming.",Strongly agree,"Although I wish there was a ""booth only"" pass, I understand it would be hard to monitor.",Strongly agree,,Strongly agree,,Strongly agree,"I do *now*, but I wish there was a webpage on the site going over TAGs, SIGs, WGs.",Strongly agree,,Strongly agree,,"Project Booth was awesome, having stickers and marketing materials paid for was so helpful.","We're struggling to get maintainers and contributors, I don't want to go up a level until we are more stable. However, we do have six companies who have adopted the product and are running in production! I just wish I knew how to get them to be more involved.",I find them reasonable! I appreciate the due diligence to ensure the success of projects.,"I'm unsure if it is just me, but I wish there was more opportunities for networking between projects, and maintainers. Though we are all so busy, it's hard to get us in a room together.  Another thing is a template or guideline, something to communicate to companies *why* they need to give maintainer hours / help contribute to these products. I wish there was a way to say ""Maintainership will be this many hours, and these metrics need to be hit, and if you don't these may be outcomes""","It's a hard line to tiptoe between communicating so much that things get ignored, and not communicating enough. I wish there was CNCF ""office hours"" for maintainers, so at least things can be communicated regularly. Although, I know looking at the CNCF calendar that is ""another meeting""."
A vendor of cloud technology,OpenFGA,No,,No,,Strongly agree,,Strongly agree,,Strongly agree,,Strongly agree,,Strongly agree,,Strongly agree,,Strongly agree,,Kiosk in KubeCon,We'll be doing it soon,"Given some requeriments about community engagement are not quantitatively defined (eg healthy number of committers), it's hard to know ig we are ready",-,
Neither,CoreDNS,No,,No,,Strongly agree,,Strongly agree,,Strongly agree,,Strongly agree,,Strongly agree,,Strongly agree,,Strongly agree,,KubeCon sessions,N/A,Excellent,Cloud (AWS/Azure/GCP) credit for projects.,
A vendor of cloud technology,kubereboot/kured,No,,Yes,"SIG Cluster Lifecycle, SIG Autoscaling",Strongly agree,,Strongly agree,,Strongly agree,,7,,7,,6,,N/A,,Inherited CNCF governance. Affinity with the Kubernetes project.,n/a,n/a,"I heart the CNCF, I have no feedback at this time.",
A vendor of cloud technology,Dapr,No,,Yes,"KEDA, Knative",9,,6,,9,,4,,2,,Strongly agree,,8,,"Events, networking",No. It's moving very slowly and we are not getting feedback,Th criteria is solid,"Help with more cloud credits, assigning developer advocates to projects.",
A vendor of cloud technology,KubeVirt,Yes,,No,,8,It's a big and vibrant ecosystem; appreciate the support of being a part of it.,9,"We are very appreciative of the great promotional support we've had this year (Thank you Katie and Jess!), as well as some of our legal questions.",9,,6,Honestly I could have a better understanding and typically think of these services in a reactive manner.,6,"I'm aware of them, and participate lightly in Contrbutor Strategy but probably don't have a good understanding of them",N/A,Just learned about CloMonitor and Project Health... We do use devstats to measure contributor involvement and a base for how we can improve from a contributing vendor perspective,N/A,,"This past year we were really happy working with the (marketing?) team with promotions for kubevirt summit, and our v1 and 1.1 releases. We also have had some legal questions and got some good advice from the Docs group that meets monthly.  If you're asking about KubeCon project benefits, then having kiosk space in the pavilion has been 100% amazing (as well as the aforementioned promotional support). Also the chance for a maintainer talk.  We've been a bit disappointed with our contribfest submissions, having put forth what we thought were two strong, thought-out proposals with no luck, and then seeing successful projects having almost no detail in their descriptions. We're not really sure what to take from that. We'll keep trying though! Oh! and the travel help was very much appreciated for getting one of our maintainers to Amsterdam for our sessions there.",I was only involved in the tail-end of the move to incubation (early 2022) but I gathered it had been a trying experience with the process/criteria changing throughout.  We are actively assessing the criteria but have not applied for graduation. Will have more feedback next survey!,We're currently assessing the graduation requirements and they seem reasonable.,I wish I could be helpful and think of something but nothing springs to mind.,
A vendor of cloud technology,Kepler,No,,Yes,"Kubernetes, Rook",Strongly agree,,8,,7,,9,,8,,8,,8,,Community engagement,Not applied yet.,The community activity should be monitored after graduation.,Provide testbed for projects so that more interaction can happen,
An End User company (not involved in direct monetization of CNCF projects),Istio,No,,Yes,,Strongly agree,,Strongly agree,,Strongly agree,,8,,Strongly agree,,9,,8,,"CNCF co-located events, service desk","Have not yet, may be was not confident enough, to move beyond Istio.","It looks good as of now, many things to do as we just finished our graduation. Need to see if things slow down after a year or so","Support female members one to one, to gain more visibility beyond the project, and see possible opportunities under the CNCF governance",
A vendor of cloud technology,Piraeus Datastore,No,,No,,6,,7,,5,,6,,6,,3,,6,,-,-,-,-,
A vendor of cloud technology,Strimzi,No,,Yes,"Kubernetes, Prometheus, OpenTelemetry, OPA, Jaeger",8,,6,,Strongly agree,,7,,6,,6,,5,,The CI/CD pipeline provided on Azure,"We applied moving from sandbox to incubation one year ago. Since then, two TOC sponsors changed to support it but really nothing moving forward.","The requirements are fine, the process is slow (or nothing)",N/A,
A vendor of cloud technology,Clusternet,No,,Yes,Kube-ovn,Strongly agree,,Strongly agree,,Strongly agree,,9,,8,,9,,9,,"Submariner, for now.",Haven't applied. We will apply when it is more productive.,More usecases in production More feedbacks from user's real PROD ENV.,NA,NA
A vendor of cloud technology,Vitess,No,,No,,Strongly agree,CNCF is often helping us when we have questions or issues. We also benefit from more structure and PR thanks to CNCF.,Strongly agree,We have been receiving great support especially for blog posts and for allowing us to speak at KubeCon.,8,,4,,4,,Strongly agree,,N/A,,The maintainer talk at KubeCon.,"Despite my interest, I am not sure how it works.",N/A,N/A,
An End User company (not involved in direct monetization of CNCF projects),Armada,No,,No,,9,"Large community, good reputation.",7,"We need to make better use of the benefits of CNCF membership, like contributing articles and having social media posts promoted, but it's not always straightforward.",8,,7,,Strongly agree,,9,,N/A,,KubeCon kiosk for Sandbox projects.,Have 1 adopter and working to get more adopters before apply to move levels.,Sometimes vague specifics but process is clear.,N/A,
A vendor of cloud technology,"SPIFFE, SPIRE",No,,Yes,"Lots .. kubernetes, grpc, envoy, istio, opa, etc",9,"Neutral home that is supportive, bringing the resources needed to grow a sustainable oss project",7,,9,,7,,9,,3,"The biggest need here is usage data. Who is using the project, for what cases and at what scale. Terrible visibility into this right now. We know it's out there, but we have no way to measure it. It makes decision making very difficult.",Strongly agree,,"Legal help, project pavilion, SWAG","It was ok. Takes a while and is heavyweight. Move to incubation and later to graduation was delayed due to hesitancy around this (who drives the process, what's the time commit, etc)",I think the graduation bar should be higher. I find it strange that some projects which would ordinarily be graduate level enter CNCF as incubation (or that would ordinarily be incubation enter as sandbox).,Usage reporting. I want to know who is using the software. What features are being used. Etc. Even if it's anonymized it's still a huge win.,
A vendor of cloud technology,Kcp,No,,Yes,Kubernetes,6,We are new. For now still hard to understand value we get,3,We still new but we didn't seen much.,5,,8,,6,A lot of information and hard to consume when it's only side work,5,,5,,Exposure via cncf,N/a,N/a,N/a,Onboarding was but bumpy. By bumpy I mean we kinda were left alone ;)
A vendor of cloud technology,Kubernetes,No,,Yes,OpenTelemetry,7,"On positive side - it is not much overhead, and neutral place to be. I am not Strongly Agree mostly because there are already too many projects in CNCF. The incentive to accept more may lead to more overhead for everybody.",Strongly agree,,Strongly agree,"From the past experience, not current",Strongly agree,,Strongly agree,,Strongly agree,,N/A,,- events and marketing,N/A,N/A,- meetings management including uploading to YouTube. Too much pain to do it manually and even semi-manually,
A vendor of cloud technology,istio,Comments:,tag-network,Yes,Cilium,Strongly agree,,9,would love to see graduated projects get more than 1 talk for KubeCon!,Strongly agree,"Yes, CNCF has the best cloud native team!",6,"Not really, could be useful to have a webinar on this with some concrete examples.",9,I'm getting involved more with TAG and TOC which is why I have a good understanding now.,8,"DevStats are very useful, need to check out the other two tools - would love guildance on how to improve our project's scores.",Strongly agree,"Emily Fox has been amazing, other TOC members are also welcoming!",KubeCon IstioDay & maintainer speaking slot & project booth are all very helpful,NA,NA,"We are interested in more advocate opportunities for Istio. Our community doesn't know CNCF opportunities well, if there are ways we could learn what is avail and possible for graduated projects, that would be wonderful.",Love all you do and keep it up!
A vendor of cloud technology,KEDA,No,,No,,9,,8,,Strongly agree,,Strongly agree,,7,,Strongly agree,,N/A,,"HW, resources & services support",Overall the process is kind of a slow.,Not sure,Don't know,
A vendor of cloud technology,Buildpacks,No,,No,,Strongly agree,I think the platform and support provided by CNCF is great for any open source project,Strongly agree,,Strongly agree,I recently applied for KubeCon NA scholarship and all the process was really quick,N/A,"No really, I didn't check that",N/A,"Not really, I will check it out",Strongly agree,I checked some of the metrics for buildpacks and I think they are helpful,N/A,,Tools and Marketing!,"I joined buildpacks 2 years ago, and I've being just promoted to maintainer. We are starting the process for graduation, let's see how it goes.",I don't know a lot about it yet,Nothing now,
A vendor of cloud technology,Buildpacks Carvel,No,,Yes,"knative, Operator Framework, Helm, Flux, Argo, ArtifactHUB, TAG App Delivery, TAG Contributor Strategy, WG GitOps, WG Artifacts",5,It's good to be cut off from the origin company but CNCF is spread too thin to support the projects in the way it promises.,4,"Nearly everything we need always has a backlog and an insane wait time until they can get to us so it feels futile to even request assistance in marketing, website, tech docs, anything...",Strongly agree,Responds quickly but does not act or execute requests,7,,2,,8,,9,,N/A - I feel as though anytime we try to use the benefits we are told there's a very long wait so it's as if we don't even have benefits to use :/,N/A,N/A,I wish that it had enough resources to deliver the services it already claims to provide.,
A vendor of cloud technology,Flux,No,,Yes,"Helm, ArgoCD, KEDA",Strongly agree,"Through the support of the CNCF we have been able to grow Flux to a truly epic community and codebase, with the support of KubeCon and CDCon, event organizers as well as support staff and leadership",7,"We had an issue with the project meeting this year at KubeCon. Someone told all the support staff that these meetings were not open to the public. Who decided this? We usually get great engagement from Flux users at these meetups, this year we had zero attendees and we were being told repeatedly, leading up to the event and during the event, that this was done on purpose. Why!?",Strongly agree,"There is always a prompt response on any issue raised. Sometimes the damage done in the moment is irreparable. The project meetings at KubeCon this year have not been addressed at all, we need to turn it around completely for next year. There cannot be a repeat!",Strongly agree,,Strongly agree,CNCF support to acquire security audit and funding for test resources has been very helpful,8,"I'm not sure how valuable they are, to me I just work on the project. I have some stats projects of my own, and the security score shows something is wrong but I'm sure that can't be right 😅)",N/A,,"The Flux booth at KubeCon in the Project Pavilion - get more focus on these! We are not sponsors and we know that we are here by the grace of the CNCF, but it really shows at the booth crawl in Chicago, where you have to walk as far away from the project pavilion as possible to get any food or drink. We staffed the project pavilion booth and in the end it would have made more sense to just participate in the booth crawl, because people really weren't coming around as much as other times of day. (I think there is talk of putting SIG-Boba on at the project pavilion, when the sponsors and vendors are all doing the booth crawl events? I'm for that!)",We are a graduated project,We have no substantial feedback about the graduation process at this time,The CNCF is a wonderful organization and I hope it can always support contributors through travel fund and kubecon scholarships!,"Please don't make project meetings private without consulting the project maintainers about whether that makes sense. We were totally blindsided by the closing up of the project meetings at KubeCon Chicago. This was not communicated effectively, we all came ready to present and were greeted with an empty room. Not an effective use of maintainers time."
A vendor of cloud technology,Strimzi,No,,Yes,,9,It aggregates a lot of mindful projects.,Strongly agree,"Yeah. Next year we are gonna have a Strimzi virtual conference, which is great.",6,,8,,9,,8,,8,,"I am creating an Open-source project, which has a meaning and a lot of active users.","Currently, we are in the Sandbox and moving to Incubating but the process from my perspective is slow due to multiple reasons.",I am not fully familiar with this because I was not involved in this process.,I don't have any in my mind now.,
A vendor of cloud technology,Paralus,No,,Yes,Cluster API,8,,8,,8,,8,,8,,8,,8,,"Project metrics provided by tools like DevStats, CLOMonitor",N/A,Satisfied with requirements,N/A,
A vendor of cloud technology,Strimzi,No,,Yes,,7,,8,,Strongly agree,,8,,7,,Strongly agree,,6,,Independent home for our project.,"I did not expect much, so I'm not completely disappointed. But it seems like not much is happening for a very long time and it is not really clear what can we do to help.","Honestly, I think it changed several times since we applied for incubation. So it is very confusing as to what are they now and how they apply.",n/a,
An End User company (not involved in direct monetization of CNCF projects),PipeCD,No,,No,,7,,N/A,,N/A,,5,"I’m a new member, so i’m not sure which one to read",N/A,,N/A,,N/A,,i’m not sure because i’m a new member,i’m not sure because i’m a new member,"it’s difficult now. the sandbox projects increase year by year, but only a few of them go to the incubating.",help for increasing contributors or adopters,
A vendor of cloud technology,Kubernetes kubeadm,Comments:,Only around some discussion and sandboxs applications(some projects from my company). I am also interested in WG AI.,Yes,"Containerd, Clusterpedia, HwameiStor, Merbridge and CoreDNS.",Strongly agree,,Strongly agree,only one complain about the twitter account(kubernetesio not active for more than half a year.).,Strongly agree,,Strongly agree,,Strongly agree,"I really appreciate the work. But for timezone reason, I rarely attend the toc meeting and tag meeting. This makes me harder to participate in the SIG. I would like to help more if there are some tasks/discussion in slack or issues. Currently most works are finished in meeting.",Strongly agree,,Strongly agree,,PROJECT PAVILION in kubecon China helps. The KCS support in Kubernetes Contributor Summit Shanghai 2023 is appreciated. Thanks.,K8s is already GAed.,"After graduation, I think only annual reports matter for the progress.",NA,"In Apache world, the PMC is a role to manage the project. In CNCF, there is no Steering related management rules. For instance, if we participate into some projects, we want a clear road to the committee,especially security committee."
An End User company (not involved in direct monetization of CNCF projects),PipeCD,No,,No,,Strongly agree,CNCF community members always helps us kindly.,Strongly agree,,7,,3,I know it just now because I joined as a maintainer of PipeCD recently,8,,Strongly agree,,N/A,I have not communicate with toc yet.,the advice for extending community from CNCF members,I have not experienced it yet because I'm a newcomer. But Our project joined as sandbox recently.,"Totally agree, but I want you to inform us more about how to move next level if possible.",Nothing,
A vendor of cloud technology,Harbor,No,,Yes,"Velero, ESO.",Strongly agree,,4,,4,,Strongly agree,,7,,Strongly agree,,N/A,,"webinars, technial support",yes it was great,fair,all good there,The projects should be the topic at events not corporations marketing
A vendor of cloud technology,k8up,No,,Yes,Kubernetes,7,,N/A,,N/A,,8,,8,,Strongly agree,,N/A,,Being part of a big community,Our project still needs time to mature,n/a,n/a,
A vendor of cloud technology,"etcd, Kubernetes metrics server",No,,No,,Strongly disagree,"Zero support to projects, no high level plan, accepting competing projects without any oversight, sells maintainer work to highest bigger to say whatever they want during keynotes",2,"Many escalations to CNCF brought zero results, we needed to migrate project to Kubernetes to get help https://docs.google.com/document/d/1tqjOxU7hhiQiUi_w6Fr5CWSCOzQIoc49kysB4bDx59o/edit?usp=sharing",Strongly disagree,It takes weeks to get anything done via support desk. Needed to escalated to CNCF CTO to get some things done,Strongly disagree,"No, any time I asked to help with CNCF programs, the answer I got that I need to setup everything myself. There is no difference vs public offerings for open source projects",Strongly disagree,"No, they don't talk to us, we don't talk to them. Don't understand reason to have a committee that doesn't talk with projects.",Strongly disagree,"No, they are hard to read and analyse.",N/A,,KubeCon talk oportunities and booth,"No, I personally regret etcd going to graduated status. Within a 2 years project was almost dead because of that.",Don't know.,"Help avoid maintainer burnout. Help reduce maintainer toil, by creating tools and processes that help grow the community.","Less random security reports, fuzz integrations, more talking with the project to understand their current needs."
